Data_Notificacao,Infectados_Dengue_GISSA,Infectados_7,Infectados_14,Infectados_21,Infectados_28,Infectados_35,Precipitacao,Precipitacao_7,Precipitacao_14,Precipitacao_21,Precipitacao_28,Precipitacao_35,Evaporacao_Piche,Evaporacao_7,Evaporacao_14,Evaporacao_21,Evaporacao_28,Evaporacao_35,Umidade_Relativa_Media,Temp_Maxima,Temp_Comp_Media,Temp_Minima,Insolacao,Insolacao_7,Insolacao_14,Insolacao_21,Insolacao_28,Insolacao_35,Velocidade_Vento_Media,Vel_vento_7,Vel_vento_14,Vel_vento_21,Vel_vento_28,Vel_vento_35,IDH,Populacao,Populacao_Sexo_Feminino,Populacao_Sexo_Masculino,Idade<15,Idade-15-64,Idade>65,Densidade_Demografica,Populacao_urbana,Populacao_Rural,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
1/1/2007,6,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,74,30.6,28,27.4,8.3,0,0,0,0,0,3.97184,0,0,0,0,0,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,78,98,150,139,128,139,249,363,419,423
2/1/2007,10,6,6,6,6,6,0,0,0,0,0,0,6.9,7.3,7.3,7.3,7.3,7.3,69.5,32,28.82,27.1,11.3,8.3,8.3,8.3,8.3,8.3,3.966667,3.97184,3.97184,3.97184,3.97184,3.97184,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,77,101,154,140,143,126,286,373,421,485
3/1/2007,26,16,16,16,16,16,0.5,0,0,0,0,0,8.2,14.2,14.2,14.2,14.2,14.2,81.75,29.5,27.24,25.9,1.3,19.6,19.6,19.6,19.6,19.6,2.433333,7.938507,7.938507,7.938507,7.938507,7.938507,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,91,141,129,125,141,138,305,441,348,535
4/1/2007,20,42,42,42,42,42,7.9,0.5,0.5,0.5,0.5,0.5,3.1,22.4,22.4,22.4,22.4,22.4,71.5,31.3,27.8,25.9,11.2,20.9,20.9,20.9,20.9,20.9,3.166667,10.37184,10.37184,10.37184,10.37184,10.37184,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,97,139,149,107,150,167,297,454,376,512
5/1/2007,22,62,62,62,62,62,2.7,8.4,8.4,8.4,8.4,8.4,5.9,25.5,25.5,25.5,25.5,25.5,83.75,28.7,26.52,24,3,32.1,32.1,32.1,32.1,32.1,3.766667,13.538507,13.538507,13.538507,13.538507,13.538507,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,89,163,131,109,158,171,325,452,398,535
6/1/2007,4,84,84,84,84,84,6.8,11.1,11.1,11.1,11.1,11.1,3.6,31.4,31.4,31.4,31.4,31.4,73.75,31.5,27.94,24.9,10.4,35.1,35.1,35.1,35.1,35.1,4.3,17.305174,17.305174,17.305174,17.305174,17.305174,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,83,171,125,117,148,187,339,443,400,580
7/1/2007,2,88,88,88,88,88,10,17.9,17.9,17.9,17.9,17.9,7,35,35,35,35,35,82.25,31.2,27.6,25,7.8,45.5,45.5,45.5,45.5,45.5,3.5,21.605174,21.605174,21.605174,21.605174,21.605174,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,87,165,129,123,154,205,335,451,423,591
8/1/2007,4,90,90,90,90,90,1.6,27.9,27.9,27.9,27.9,27.9,5.3,42,42,42,42,42,75.25,32.1,28.12,25.1,9.5,53.3,53.3,53.3,53.3,53.3,4.333333,25.105174,25.105174,25.105174,25.105174,25.105174,0.724,2357802,1254166,1103636,575629,1636599,145573,7547,2357802,0,98,150,139,128,139,249,363,419,423,647
9/1/2007,8,88,94,94,94,94,6,29.5,29.5,29.5,29.5,29.5,7.9,40,47.3,47.3,47.3,47.3,82,31.2,27.74,25.9,4.7,54.5,62.8,62.8,62.8,62.8,2.766667,25.466667,29.438507,29.438507,29.438507,29.438507,0.724,2357802,1254166,1103636,575629,1636599,145573,7547,2357802,0,101,154,140,143,126,286,373,421,485,585
10/1/2007,14,86,102,102,102,102,0.6,35.5,35.5,35.5,35.5,35.5,2.1,41,55.2,55.2,55.2,55.2,78,31.6,27.96,25.3,10.3,47.9,67.5,67.5,67.5,67.5,3.533333,24.266667,32.205174,32.205174,32.205174,32.205174,0.724,2357802,1254166,1103636,575629,1636599,145573,7547,2357802,0,141,129,125,141,138,305,441,348,535,599
11/1/2007,2,74,116,116,116,116,0,35.6,36.1,36.1,36.1,36.1,5.7,34.9,57.3,57.3,57.3,57.3,78.25,31.8,27.98,25.3,7.1,56.9,77.8,77.8,77.8,77.8,3.033333,25.366667,35.738507,35.738507,35.738507,35.738507,0.724,2357802,1254166,1103636,575629,1636599,145573,7547,2357802,0,139,149,107,150,167,297,454,376,512,667
12/1/2007,18,56,118,118,118,118,0,27.7,36.1,36.1,36.1,36.1,5.4,37.5,63,63,63,63,73.25,31.7,28.22,25.7,8.7,52.8,84.9,84.9,84.9,84.9,3.133333,25.233333,38.77184,38.77184,38.77184,38.77184,0.724,2357802,1254166,1103636,575629,1636599,145573,7547,2357802,0,163,131,109,158,171,325,452,398,535,649
13/01/2007,12,52,136,136,136,136,0,25,36.1,36.1,36.1,36.1,6.7,37,68.4,68.4,68.4,68.4,72.25,31.3,27.82,25.4,10.5,58.5,93.6,93.6,93.6,93.6,3.166667,24.599999,41.905173,41.905173,41.905173,41.905173,0.724,2357802,1254166,1103636,575629,1636599,145573,7547,2357802,0,171,125,117,148,187,339,443,400,580,603
14/01/2007,6,60,148,148,148,148,0,18.2,36.1,36.1,36.1,36.1,5.5,40.1,75.1,75.1,75.1,75.1,76.25,31.9,28.12,25.1,7,58.6,104.1,104.1,104.1,104.1,3.7,23.466666,45.07184,45.07184,45.07184,45.07184,0.724,2357802,1254166,1103636,575629,1636599,145573,7547,2357802,0,165,129,123,154,205,335,451,423,591,554
15/01/2007,18,64,154,154,154,154,0,8.2,36.1,36.1,36.1,36.1,6.2,38.6,80.6,80.6,80.6,80.6,75.75,32.3,28.6,26.7,3.3,57.8,111.1,111.1,111.1,111.1,2.666667,23.666666,48.77184,48.77184,48.77184,48.77184,0.724,2358411,1254489,1103922,575487,1637248,145675,7549,2358411,0,150,139,128,139,249,363,419,423,647,574
16/01/2007,7,78,166,172,172,172,0,6.6,36.1,36.1,36.1,36.1,6.3,39.5,79.5,86.8,86.8,86.8,74.5,32.3,28.98,27.2,10,51.6,106.1,114.4,114.4,114.4,3.866667,22,47.466667,51.438507,51.438507,51.438507,0.724,2358411,1254489,1103922,575487,1637248,145675,7549,2358411,0,154,140,143,126,286,373,421,485,585,579
17/01/2007,28,77,163,179,179,179,0,0.6,36.1,36.1,36.1,36.1,6.4,37.9,78.9,93.1,93.1,93.1,75,32.7,28.42,26.8,8.5,56.9,104.8,124.4,124.4,124.4,3.866667,23.1,47.366667,55.305174,55.305174,55.305174,0.724,2358411,1254489,1103922,575487,1637248,145675,7549,2358411,0,129,125,141,138,305,441,348,535,599,574
18/01/2007,8,91,165,207,207,207,1.2,0,35.6,36.1,36.1,36.1,6.6,42.2,77.1,99.5,99.5,99.5,69.75,32.6,28.38,25.8,9.1,55.1,112,132.9,132.9,132.9,3.766667,23.433334,48.800001,59.171841,59.171841,59.171841,0.724,2358411,1254489,1103922,575487,1637248,145675,7549,2358411,0,149,107,150,167,297,454,376,512,667,484
19/01/2007,10,97,153,215,215,215,0,1.2,28.9,37.3,37.3,37.3,7.3,43.1,80.6,106.1,106.1,106.1,75.25,32.1,28.44,25.9,10.6,57.1,109.9,142,142,142,3.533333,24.166668,49.400001,62.938508,62.938508,62.938508,0.724,2358411,1254489,1103922,575487,1637248,145675,7549,2358411,0,131,109,158,171,325,452,398,535,649,447
20/01/2007,6,89,141,225,225,225,0,1.2,26.2,37.3,37.3,37.3,0.9,45,82,113.4,113.4,113.4,74.25,32.2,28.88,27.4,10.8,59,117.5,152.6,152.6,152.6,3.566667,24.566668,49.166667,66.471841,66.471841,66.471841,0.724,2358411,1254489,1103922,575487,1637248,145675,7549,2358411,0,125,117,148,187,339,443,400,580,603,451
21/01/2007,10,83,143,231,231,231,0,1.2,19.4,37.3,37.3,37.3,6.2,39.2,79.3,114.3,114.3,114.3,70.5,32.5,28.72,26.1,10.6,59.3,117.9,163.4,163.4,163.4,2.9,24.966668,48.433334,70.038508,70.038508,70.038508,0.724,2358411,1254489,1103922,575487,1637248,145675,7549,2358411,0,129,123,154,205,335,451,423,591,554,454
22/01/2007,29,87,151,241,241,241,0,1.2,9.4,37.3,37.3,37.3,7.6,39.9,78.5,120.5,120.5,120.5,72.75,32.7,28.32,25.7,9.7,62.9,120.7,174,174,174,3.333333,24.166668,47.833334,72.938508,72.938508,72.938508,0.724,2359019,1254812,1104207,575346,1637897,145776,7551,2359019,0,139,128,139,249,363,419,423,647,574,487
23/01/2007,10,98,176,264,270,270,0,1.2,7.8,37.3,37.3,37.3,5.7,41.3,80.8,120.8,128.1,128.1,75.25,31.7,28,25.1,5.7,69.3,120.9,175.4,183.7,183.7,2.333333,24.833334,46.833334,72.300001,76.271841,76.271841,0.724,2359019,1254812,1104207,575346,1637897,145776,7551,2359019,0,140,143,126,286,373,421,485,585,579,559
24/01/2007,68,101,178,264,280,280,0,1.2,1.8,37.3,37.3,37.3,4.5,40.7,78.6,119.6,133.8,133.8,76,31.9,28.28,25.7,6.5,65,121.9,169.8,189.4,189.4,3.566667,23.3,46.4,70.666667,78.605174,78.605174,0.724,2359019,1254812,1104207,575346,1637897,145776,7551,2359019,0,125,141,138,305,441,348,535,599,574,618
25/01/2007,6,141,232,306,348,348,0,1.2,1.2,36.8,37.3,37.3,6,38.8,81,115.9,138.3,138.3,76.75,30.8,28.6,27.4,8.4,63,118.1,175,195.9,195.9,3.91444,23,46.433334,71.800001,82.171841,82.171841,0.724,2359019,1254812,1104207,575346,1637897,145776,7551,2359019,0,107,150,167,297,454,376,512,667,484,733
26/01/2007,34,139,236,292,354,354,0,0,1.2,28.9,37.3,37.3,7.3,38.2,81.3,118.8,144.3,144.3,71.25,33.1,29.22,27.4,10.3,62.3,119.4,172.2,204.3,204.3,3.566667,23.147773,47.314441,72.547774,86.086281,86.086281,0.724,2359019,1254812,1104207,575346,1637897,145776,7551,2359019,0,109,158,171,325,452,398,535,649,447,798
27/01/2007,14,163,252,304,388,388,0,0,1.2,26.2,37.3,37.3,8.3,38.2,83.2,120.2,151.6,151.6,69,32.5,28.72,26.5,11,62,121,179.5,214.6,214.6,3.6,23.181107,47.747775,72.347774,89.652948,89.652948,0.724,2359019,1254812,1104207,575346,1637897,145776,7551,2359019,0,117,148,187,339,443,400,580,603,451,829
28/01/2007,4,171,254,314,402,402,0,0,1.2,19.4,37.3,37.3,7.4,45.6,84.8,124.9,159.9,159.9,74,33.5,28.52,25.3,10.5,62.2,121.5,180.1,225.6,225.6,3.033333,23.21444,48.181108,71.647774,93.252948,93.252948,0.724,2359019,1254812,1104207,575346,1637897,145776,7551,2359019,0,123,154,205,335,451,423,591,554,454,843
29/01/2007,14,165,252,316,406,406,0,0,1.2,9.4,37.3,37.3,7,46.8,86.7,125.3,167.3,167.3,74.5,32.5,28.84,26.5,9.2,62.1,125,182.8,236.1,236.1,3.433333,23.347773,47.514441,71.181107,96.286281,96.286281,0.724,2359628,1255135,1104493,575204,1638546,145878,7553,2359628,0,128,139,249,363,419,423,647,574,487,846
30/01/2007,14,150,248,326,414,414,0,0,1.2,7.8,37.3,37.3,6.5,46.2,87.5,127,167,167,77,32.4,28.74,27.6,6.1,61.6,130.9,182.5,237,237,2.633333,23.447773,48.281107,70.281107,95.747774,95.747774,0.724,2359628,1255135,1104493,575204,1638546,145878,7553,2359628,0,143,126,286,373,421,485,585,579,559,867
31/01/2007,43,154,255,332,418,418,0,0,1.2,1.8,37.3,37.3,5.5,47,87.7,125.6,166.6,166.6,80.25,32.1,28.78,27.7,2.3,62,127,183.9,231.8,231.8,2.633333,23.747773,47.047773,70.147773,94.41444,94.41444,0.724,2359628,1255135,1104493,575204,1638546,145878,7553,2359628,0,141,138,305,441,348,535,599,574,618,873
1/2/2007,26,129,270,361,435,435,1.6,0,1.2,1.2,36.8,36.8,5,48,86.8,129,163.9,163.9,79.25,31.7,28,26.6,7.7,57.8,120.8,175.9,232.8,232.8,3.566667,22.814439,45.814439,69.247773,94.61444,94.61444,0.724,2359628,1255135,1104493,575204,1638546,145878,7553,2359628,0,150,167,297,454,376,512,667,484,733,858
2/2/2007,16,149,288,385,441,441,0,1.6,1.6,2.8,30.5,30.5,5,47,85.2,128.3,165.8,165.8,80.75,30.4,27.3,25.5,2.2,57.1,119.4,176.5,229.3,229.3,2.266667,22.466666,45.614439,69.781107,95.01444,95.01444,0.724,2359628,1255135,1104493,575204,1638546,145878,7553,2359628,0,158,171,325,452,398,535,649,447,798,891
3/2/2007,8,131,294,383,435,435,8.1,1.6,1.6,2.8,27.8,27.8,2.2,44.7,82.9,127.9,164.9,164.9,77.5,31.2,28,25.4,5.4,49,111,170,228.5,228.5,2.466667,21.166666,44.347773,68.914441,93.51444,93.51444,0.724,2359628,1255135,1104493,575204,1638546,145878,7553,2359628,0,148,187,339,443,400,580,603,451,829,888
4/2/2007,8,125,296,379,439,439,1.4,9.7,9.7,10.9,29.1,29.1,3.5,38.6,84.2,123.4,163.5,163.5,81.25,30.2,27.46,25.7,1.8,43.4,105.6,164.9,223.5,223.5,2.2,20.033333,43.247773,68.214441,91.681107,91.681107,0.724,2359628,1255135,1104493,575204,1638546,145878,7553,2359628,0,154,205,335,451,423,591,554,454,843,879
5/2/2007,24,129,294,381,445,445,4.2,11.1,11.1,12.3,20.5,20.5,3.1,34.7,81.5,121.4,160,160,81.25,30.3,27.16,25.5,2.7,34.7,96.8,159.7,217.5,217.5,2.6,19.2,42.547773,66.714441,90.381107,90.381107,0.724,2360237,1255459,1104779,575062,1639195,145979,7555,2360237,0,139,249,363,419,423,647,574,487,846,927
6/2/2007,15,139,289,387,465,553,0.4,15.3,15.3,16.5,23.1,52.6,2.7,30.8,77,118.3,157.8,197.8,76,32,28.34,25.7,9.3,28.2,89.8,159.1,210.7,265.2,3.433333,18.366667,41.81444,66.647774,88.647774,114.114441,0.724,2360237,1255459,1104779,575062,1639195,145979,7555,2360237,0,126,286,373,421,485,585,579,559,867,953
7/2/2007,28,140,294,395,472,558,0,15.7,15.7,16.9,17.5,53,5.2,27,74,114.7,152.6,193.6,73.75,32.5,28.56,26.1,10.6,31.4,93.4,158.4,215.3,263.2,3.2,19.166667,42.91444,66.21444,89.31444,113.581107,0.724,2360237,1255459,1104779,575062,1639195,145979,7555,2360237,0,138,305,441,348,535,599,574,618,873,985
8/2/2007,8,125,254,395,486,560,3,15.7,15.7,16.9,16.9,52.5,5.1,26.7,74.7,113.5,155.7,190.6,77,31.1,28.14,25.4,4.3,39.7,97.5,160.5,215.6,272.5,3.133333,19.733334,42.547773,65.547773,88.981107,114.347774,0.724,2360237,1255459,1104779,575062,1639195,145979,7555,2360237,0,167,297,454,376,512,667,484,733,858,1006
9/2/2007,18,107,256,395,492,548,6.3,17.1,18.7,18.7,19.9,47.6,4.8,26.8,73.8,112,155.1,192.6,78,31.7,28.12,25.4,1.7,36.3,93.4,155.7,212.8,265.6,3.033333,19.3,41.766666,64.914439,89.081107,114.31444,0.724,2360237,1255459,1104779,575062,1639195,145979,7555,2360237,0,171,325,452,398,535,649,447,798,891,1048
10/2/2007,16,109,240,403,492,544,0.4,23.4,25,25,26.2,51.2,5,26.6,71.3,109.5,154.5,191.5,74,31.8,28.44,25.7,11.1,35.8,84.8,146.8,205.8,264.3,3.633333,20.066666,41.233332,64.414439,88.981107,113.581106,0.724,2360237,1255459,1104779,575062,1639195,145979,7555,2360237,0,187,339,443,400,580,603,451,829,888,1057
11/2/2007,14,117,242,413,496,556,0,15.7,25.4,25.4,26.6,44.8,5.3,29.4,68,113.6,152.8,192.9,74,32.2,28.54,25.8,8.9,41.5,84.9,147.1,206.4,265,2.833333,21.233332,41.266665,64.481105,89.447773,112.914439,0.724,2360237,1255459,1104779,575062,1639195,145979,7555,2360237,0,205,335,451,423,591,554,454,843,879,1069
12/2/2007,29,123,252,417,504,568,0,14.3,25.4,25.4,26.6,34.8,4.8,31.2,65.9,112.7,152.6,191.2,76,31.7,28.28,25.6,4.3,48.6,83.3,145.4,208.3,266.1,2.333333,21.866665,41.066665,64.414438,88.581106,112.247772,0.725,2360846,1255782,1105064,574921,1639844,146081,7557,2360846,0,249,363,419,423,647,574,487,846,927,1035
13/02/2007,30,128,267,417,515,593,0,10.1,25.4,25.4,26.6,33.2,3.3,32.9,63.7,109.9,151.2,190.7,76,33,28.42,25.3,5.3,50.2,78.4,140,209.3,260.9,1.933333,21.599998,39.966665,63.414438,88.247772,110.247772,0.725,2360846,1255782,1105064,574921,1639844,146081,7557,2360846,0,286,373,421,485,585,579,559,867,953,900
14/02/2007,26,143,283,437,538,615,11,9.7,25.4,25.4,26.6,27.2,4.1,33.5,60.5,107.5,148.2,186.1,90.5,27.4,25.7,23.9,0.2,46.2,77.6,139.6,204.6,261.5,1.533333,20.099998,39.266665,63.014438,86.314438,109.414438,0.725,2360846,1255782,1105064,574921,1639844,146081,7557,2360846,0,305,441,348,535,599,574,618,873,985,873
15/02/2007,17,141,266,395,536,627,60.7,20.7,36.4,36.4,37.6,37.6,0.7,32.4,59.1,107.1,145.9,188.1,87,28.5,26.18,23.9,0.2,35.8,75.5,133.3,196.3,251.4,0.766667,18.433331,38.166665,60.981104,83.981104,107.414438,0.725,2360846,1255782,1105064,574921,1639844,146081,7557,2360846,0,297,454,376,512,667,484,733,858,1006,876
16/02/2007,26,150,257,406,545,642,29,78.4,95.5,97.1,97.1,98.3,1.3,28,54.8,101.8,140,183.1,86,30.8,26.9,23.7,4.8,31.7,68,125.1,187.4,244.5,1.9,16.066665,35.366665,57.833331,80.981104,105.147772,0.725,2360846,1255782,1105064,574921,1639844,146081,7557,2360846,0,325,452,398,535,649,447,798,891,1048,886
17/02/2007,6,158,267,398,561,650,38.6,101.1,124.5,126.1,126.1,127.3,2.5,24.5,51.1,95.8,134,179,91.75,28.6,25.5,23.3,0,34.8,70.6,119.6,181.6,240.6,1.3,14.933332,34.999998,56.166664,79.347771,103.914439,0.725,2360846,1255782,1105064,574921,1639844,146081,7557,2360846,0,339,443,400,580,603,451,829,888,1057,854
18/02/2007,20,148,265,390,561,644,33,139.3,155,164.7,164.7,165.9,0.9,22,51.4,90,135.6,174.8,82,30.2,26.04,22.4,0.3,23.7,65.2,108.6,170.8,230.1,0.666667,12.599999,33.833331,53.866664,77.081104,102.047772,0.725,2360846,1255782,1105064,574921,1639844,146081,7557,2360846,0,335,451,423,591,554,454,843,879,1069,847
19/02/2007,14,154,277,406,571,658,5.3,172.3,186.6,197.7,197.7,198.9,2,17.6,48.8,83.5,130.3,170.2,89.5,30.4,25.7,23.5,2.3,15.1,63.7,98.4,160.5,223.4,2,10.433333,32.299998,51.499998,74.847771,99.014439,0.725,2361455,1256105,1105350,574779,1640493,146182,7559,2361455,0,363,419,423,647,574,487,846,927,1035,875
20/02/2007,17,139,267,406,556,654,6.6,177.6,187.7,203,203,204.2,1.4,14.8,47.7,78.5,124.7,166,84.75,29.4,25.62,22.6,1.3,13.1,63.3,91.5,153.1,222.4,2.033333,10.1,31.699998,50.066665,73.514438,98.347772,0.725,2361455,1256105,1105350,574779,1640493,146182,7559,2361455,0,373,421,485,585,579,559,867,953,900,1027
21/02/2007,38,126,269,409,563,664,1.4,184.2,193.9,209.6,209.6,210.8,1.3,12.9,46.4,73.4,120.4,161.1,76,31.6,27.08,23,6.4,9.1,55.3,86.7,148.7,213.7,2.6,10.2,30.299998,49.466665,73.214438,96.514438,0.725,2361455,1256105,1105350,574779,1640493,146182,7559,2361455,0,441,348,535,599,574,618,873,985,873,1079
22/02/2007,46,138,279,404,533,674,14.8,174.6,195.3,211,211,212.2,4,10.1,42.5,69.2,117.2,156,80.75,31,26.98,22.7,9.6,15.3,51.1,90.8,148.6,211.6,2.433333,11.266667,29.699998,49.433332,72.247771,95.247771,0.725,2361455,1256105,1105350,574779,1640493,146182,7559,2361455,0,454,376,512,667,484,733,858,1006,876,1034
23/02/2007,30,167,317,424,573,712,91,128.7,207.1,224.2,225.8,225.8,3.4,13.4,41.4,68.2,115.2,153.4,95.25,27,24.08,22.4,0,24.7,56.4,92.7,149.8,212.1,0.866667,12.933333,28.999998,48.299998,70.766664,93.914437,0.725,2361455,1256105,1105350,574779,1640493,146182,7559,2361455,0,452,398,535,649,447,798,891,1048,886,960
24/02/2007,22,171,329,438,569,732,7,190.7,291.8,315.2,316.8,316.8,0.3,15.5,40,66.6,111.3,149.5,85,30.2,25.68,22.6,2.9,19.9,54.7,90.5,139.5,201.5,1.8,11.9,26.833332,46.899998,68.066664,91.247771,0.725,2361455,1256105,1105350,574779,1640493,146182,7559,2361455,0,443,400,580,603,451,829,888,1057,854,997
25/02/2007,38,187,335,452,577,748,0.6,159.1,298.4,314.1,323.8,323.8,2.7,13.3,35.3,64.7,103.3,148.9,79.75,30.8,27.18,23.6,8.4,22.8,46.5,88,131.4,193.6,3.033333,12.4,24.999999,46.233331,66.266664,89.481104,0.725,2361455,1256105,1105350,574779,1640493,146182,7559,2361455,0,451,423,591,554,454,843,879,1069,847,979
26/02/2007,58,205,359,482,611,776,0.4,126.7,299,313.3,324.4,324.4,3.5,15.1,32.7,63.9,98.6,145.4,79,31.4,27.74,24.1,9.3,30.9,46,94.6,129.3,191.4,3.733333,14.766666,25.199999,47.066664,66.266664,89.614437,0.725,2362064,1256428,1105636,574638,1641142,146284,7561,2362064,0,419,423,647,574,487,846,927,1035,875,934
27/02/2007,54,249,388,516,655,805,0,121.8,299.4,309.5,324.8,324.8,4.7,16.6,31.4,64.3,95.1,141.3,74.5,32.3,28.2,24.3,11,37.9,51,101.2,129.4,191,3.166667,16.499999,26.599999,48.199997,66.566664,90.014437,0.725,2362064,1256428,1105636,574638,1641142,146284,7561,2362064,0,421,485,585,579,559,867,953,900,1027,947
28/02/2007,57,286,412,555,695,849,4.2,115.2,299.4,309.1,324.8,324.8,5.7,19.9,32.8,66.3,93.3,140.3,84.25,30.6,26.42,23.3,2.6,47.6,56.7,102.9,134.3,196.3,2.566667,17.633333,27.833333,47.933331,67.099998,90.847771,0.725,2362064,1256428,1105636,574638,1641142,146284,7561,2362064,0,348,535,599,574,618,873,985,873,1079,983
1/3/2007,38,305,443,584,709,838,8.3,118,292.6,313.3,329,329,2.4,24.3,34.4,66.8,93.5,141.5,83.75,31,26.68,23.4,5.3,43.8,59.1,94.9,134.6,192.4,3,17.6,28.866667,47.299998,67.033332,89.847771,0.725,2362064,1256428,1105636,574638,1641142,146284,7561,2362064,0,376,512,667,484,733,858,1006,876,1034,989
2/3/2007,58,297,464,614,721,870,40.4,111.5,240.2,318.6,335.7,337.3,2.6,22.7,36.1,64.1,90.9,137.9,90,28.6,25.64,23.4,0,39.5,64.2,95.9,132.2,189.3,1.866667,18.166667,31.1,47.166665,66.466665,88.933331,0.725,2362064,1256428,1105636,574638,1641142,146284,7561,2362064,0,398,535,649,447,798,891,1048,886,960,1036
3/3/2007,36,325,496,654,763,894,10.9,60.9,251.6,352.7,376.1,377.7,1.3,21.9,37.4,61.9,88.5,133.2,89.75,30.4,25.46,23.4,1.1,39.5,59.4,94.2,130,179,1.8,19.166667,31.066667,45.999999,66.066665,87.233331,0.725,2362064,1256428,1105636,574638,1641142,146284,7561,2362064,0,400,580,603,451,829,888,1057,854,997,1002
4/3/2007,34,339,526,674,791,916,8.9,64.8,223.9,363.2,378.9,388.6,1.9,22.9,36.2,58.2,87.6,126.2,77.75,31.8,27.08,22.7,9.6,37.7,60.5,84.2,125.7,169.1,2.466667,19.166667,31.566667,44.166666,65.399998,85.433331,0.725,2362064,1256428,1105636,574638,1641142,146284,7561,2362064,0,423,591,554,454,843,879,1069,847,979,1016
5/3/2007,86,335,540,694,817,946,1.3,73.1,199.8,372.1,386.4,397.5,4.4,22.1,37.2,54.8,86,120.7,78.25,31.5,27.64,22.9,10.7,38.9,69.8,84.9,133.5,168.2,3.433333,18.600001,33.366667,43.8,65.666665,84.866665,0.725,2362673,1256752,1105922,574496,1641791,146386,7563,2362673,0,423,647,574,487,846,927,1035,875,934,1087
6/3/2007,64,363,612,751,879,1018,1.2,74,195.8,373.4,383.5,398.8,4.9,23,39.6,54.4,87.3,118.1,79,31,27.32,24,6.7,40.3,78.2,91.3,141.5,169.7,2.633333,18.300001,34.8,44.9,66.499998,84.866665,0.725,2362673,1256752,1105922,574496,1641791,146386,7563,2362673,0,485,585,579,559,867,953,900,1027,947,993
7/3/2007,125,373,659,785,928,1068,4.4,75.2,190.4,374.6,384.3,400,3.5,23.2,43.1,56,89.5,116.5,83.25,31.2,26.92,24.5,1.7,36,83.6,92.7,138.9,170.3,2.233333,17.766667,35.4,45.6,65.699998,84.866665,0.725,2362673,1256752,1105922,574496,1641791,146386,7563,2362673,0,535,599,574,618,873,985,873,1079,983,870
8/3/2007,51,441,746,884,1025,1150,3.2,75.4,193.4,368,388.7,404.4,2.5,21,45.3,55.4,87.8,114.5,78.75,31.7,27.54,24.7,4.3,35.1,78.9,94.2,130,169.7,2.2,17.433333,35.033333,46.3,64.733331,84.466665,0.725,2362673,1256752,1105922,574496,1641791,146386,7563,2362673,0,512,667,484,733,858,1006,876,1034,989,867
9/3/2007,56,454,751,918,1068,1175,0.6,70.3,181.8,310.5,388.9,406,4.2,21.1,43.8,57.2,85.2,112,80.25,31.8,27.62,24.7,9.3,34.1,73.6,98.3,130,166.3,2.2,16.633333,34.8,47.733333,63.799998,83.099998,0.725,2362673,1256752,1105922,574496,1641791,146386,7563,2362673,0,535,649,447,798,891,1048,886,960,1036,823
10/3/2007,27,452,777,948,1106,1215,3.6,30.5,91.4,282.1,383.2,406.6,4.3,22.7,44.6,60.1,84.6,111.2,77.25,32.1,27.74,24.6,6,43.4,82.9,102.8,137.6,173.4,2.9,16.966666,36.133333,48.033333,62.966665,83.033331,0.725,2362673,1256752,1105922,574496,1641791,146386,7563,2362673,0,580,603,451,829,888,1057,854,997,1002,821
11/3/2007,42,443,782,969,1117,1234,31.6,23.2,88,247.1,386.4,402.1,4.3,25.7,48.6,61.9,83.9,113.3,93.25,28,25.04,22.8,0,48.3,86,108.8,132.5,174,0.933333,18.066666,37.233333,49.633333,62.233332,83.466664,0.725,2362673,1256752,1105922,574496,1641791,146386,7563,2362673,0,591,554,454,843,879,1069,847,979,1016,815
12/3/2007,54,451,786,991,1145,1268,72.5,45.9,119,245.7,418,432.3,0.8,28.1,50.2,65.3,82.9,114.1,86.5,31,25.46,21.9,1.7,38.7,77.6,108.5,123.6,172.2,3.1,16.533332,35.133333,49.899999,60.333332,82.199997,0.725,2363282,1257075,1106207,574354,1642440,146487,7565,2363282,0,647,574,487,846,927,1035,875,934,1087,833
13/03/2007,66,419,782,1031,1170,1298,44.4,117.1,191.1,312.9,490.5,500.6,2.4,24.5,47.5,64.1,78.9,111.8,92.5,28.4,24.94,21.7,0,29.7,70,107.9,121,171.2,1,16.199999,34.5,50.999999,61.099999,82.699997,0.725,2363282,1257075,1106207,574354,1642440,146487,7565,2363282,0,585,579,559,867,953,900,1027,947,993,894
14/03/2007,52,421,794,1080,1206,1349,8.8,160.3,235.5,350.7,534.9,544.6,1,22,45.2,65.1,78,111.5,78.25,31.2,27.16,23.3,8.9,23,59,106.6,115.7,161.9,2.966667,14.566666,32.333333,49.966666,60.166666,80.266664,0.725,2363282,1257075,1106207,574354,1642440,146487,7565,2363282,0,599,574,618,873,985,873,1079,983,870,946
