ds,y
21/10/2013,0
28/10/2013,0
04/11/2013,0
11/11/2013,0
18/11/2013,0
25/11/2013,0
02/12/2013,0
09/12/2013,0
16/12/2013,0
23/12/2013,0
30/12/2013,0
06/01/2014,0
13/01/2014,1
20/01/2014,0
27/01/2014,0
03/02/2014,0
10/02/2014,0
17/02/2014,0
24/02/2014,1
03/03/2014,1
10/03/2014,0
17/03/2014,2
24/03/2014,0
31/03/2014,1
07/04/2014,1
14/04/2014,1
21/04/2014,1
28/04/2014,3
05/05/2014,4
12/05/2014,6
19/05/2014,3
26/05/2014,10
02/06/2014,13
09/06/2014,27
16/06/2014,17
23/06/2014,40
30/06/2014,46
07/07/2014,68
14/07/2014,54
21/07/2014,42
28/07/2014,34
04/08/2014,19
11/08/2014,10
18/08/2014,11
25/08/2014,6
01/09/2014,3
08/09/2014,6
15/09/2014,4
22/09/2014,2
29/09/2014,1
06/10/2014,1
13/10/2014,0
20/10/2014,2
27/10/2014,0
03/11/2014,0
10/11/2014,1
17/11/2014,1
24/11/2014,1
01/12/2014,2
08/12/2014,2
15/12/2014,0
22/12/2014,1
29/12/2014,0
05/01/2015,0
12/01/2015,3
19/01/2015,1
26/01/2015,1
02/02/2015,1
09/02/2015,2
16/02/2015,0
23/02/2015,2
02/03/2015,1
09/03/2015,1
16/03/2015,0
23/03/2015,0
30/03/2015,4
06/04/2015,1
13/04/2015,0
20/04/2015,3
27/04/2015,3
04/05/2015,1
11/05/2015,3
18/05/2015,9
25/05/2015,4
01/06/2015,13
08/06/2015,9
15/06/2015,12
22/06/2015,9
29/06/2015,8
06/07/2015,4
13/07/2015,0
20/07/2015,0
27/07/2015,0
03/08/2015,0
10/08/2015,0
17/08/2015,0
24/08/2015,0
31/08/2015,0
07/09/2015,0
14/09/2015,0
21/09/2015,0
28/09/2015,0
05/10/2015,0
12/10/2015,0
19/10/2015,0
26/10/2015,0
02/11/2015,0
09/11/2015,0
16/11/2015,0
23/11/2015,0
30/11/2015,0
07/12/2015,0
14/12/2015,0
21/12/2015,0
28/12/2015,2
04/01/2016,5
11/01/2016,2
18/01/2016,6
25/01/2016,7
01/02/2016,6
08/02/2016,10
15/02/2016,14
22/02/2016,11
29/02/2016,4
07/03/2016,7
14/03/2016,17
21/03/2016,22
28/03/2016,42
04/04/2016,36
11/04/2016,50
18/04/2016,30
25/04/2016,33
02/05/2016,49
09/05/2016,36
16/05/2016,34
23/05/2016,27
30/05/2016,53
06/06/2016,44
13/06/2016,25
20/06/2016,32
27/06/2016,27
04/07/2016,25
11/07/2016,10
18/07/2016,9
25/07/2016,4
01/08/2016,5
08/08/2016,3
15/08/2016,4
22/08/2016,5
29/08/2016,1
05/09/2016,0
12/09/2016,3
19/09/2016,0
26/09/2016,0
03/10/2016,0
10/10/2016,3
17/10/2016,4
24/10/2016,2
31/10/2016,1
07/11/2016,1
14/11/2016,1
21/11/2016,3
28/11/2016,0
05/12/2016,2
12/12/2016,1
19/12/2016,4
26/12/2016,0
02/01/2017,0
09/01/2017,0
16/01/2017,0
23/01/2017,0
30/01/2017,0
06/02/2017,0
13/02/2017,1
20/02/2017,0
27/02/2017,0
06/03/2017,1
13/03/2017,0
20/03/2017,0
27/03/2017,0
03/04/2017,0
10/04/2017,0
17/04/2017,0
24/04/2017,1
01/05/2017,1
08/05/2017,1
15/05/2017,0
22/05/2017,0
29/05/2017,1
05/06/2017,0
12/06/2017,1
19/06/2017,0
26/06/2017,0
03/07/2017,0
10/07/2017,1
17/07/2017,0
24/07/2017,1
31/07/2017,0
07/08/2017,0
14/08/2017,0
21/08/2017,0
28/08/2017,0
04/09/2017,0
11/09/2017,0
18/09/2017,0
25/09/2017,0
02/10/2017,0
09/10/2017,0
16/10/2017,0
23/10/2017,0
30/10/2017,0
06/11/2017,0
13/11/2017,0
20/11/2017,0
27/11/2017,0
04/12/2017,0
11/12/2017,0
18/12/2017,0
25/12/2017,1
01/01/2018,0
08/01/2018,0
15/01/2018,0
22/01/2018,0
29/01/2018,1
05/02/2018,0
12/02/2018,0
19/02/2018,0
26/02/2018,0
05/03/2018,0
12/03/2018,1
19/03/2018,0
26/03/2018,0
02/04/2018,0
09/04/2018,0
16/04/2018,0
23/04/2018,0
30/04/2018,0
07/05/2018,0
14/05/2018,0
21/05/2018,0
28/05/2018,0
04/06/2018,0
11/06/2018,0
18/06/2018,0
25/06/2018,0
02/07/2018,0
09/07/2018,0
16/07/2018,0
23/07/2018,0
30/07/2018,0
06/08/2018,0
13/08/2018,0
20/08/2018,0
27/08/2018,0
03/09/2018,0
10/09/2018,0
17/09/2018,1
24/09/2018,0
01/10/2018,0
08/10/2018,0
15/10/2018,0
22/10/2018,0
29/10/2018,0
05/11/2018,0
12/11/2018,0
19/11/2018,1
26/11/2018,0
03/12/2018,0
10/12/2018,0
17/12/2018,1
24/12/2018,0
31/12/2018,0
07/01/2019,1
14/01/2019,0
21/01/2019,0
28/01/2019,0
04/02/2019,0
11/02/2019,1
18/02/2019,0
25/02/2019,0
04/03/2019,0
11/03/2019,1
18/03/2019,0
25/03/2019,0
01/04/2019,1
08/04/2019,0
15/04/2019,1
22/04/2019,0
29/04/2019,2
06/05/2019,0
13/05/2019,0
20/05/2019,2
27/05/2019,2
03/06/2019,0
10/06/2019,2
17/06/2019,2
24/06/2019,0
01/07/2019,0
08/07/2019,2
15/07/2019,0
22/07/2019,1
29/07/2019,1
05/08/2019,13
12/08/2019,16
19/08/2019,13
26/08/2019,7
02/09/2019,13
09/09/2019,6
16/09/2019,3
23/09/2019,2
30/09/2019,0
07/10/2019,2
14/10/2019,0
21/10/2019,0
28/10/2019,0
04/11/2019,0
11/11/2019,0
18/11/2019,0
25/11/2019,0
02/12/2019,0
09/12/2019,0
16/12/2019,0
23/12/2019,0
30/12/2019,0
