Dia,y
1,0
1,0
1,2
1,4
1,4
1,10
1,11
1,10
1,12
1,7
1,8
1,14
1,12
1,10
1,12
1,16
1,0
1,10
1,15
1,11
1,6
1,4
1,6
1,6
1,0
1,2
1,0
1,0
1,2
1,8
1,2
1,0
1,2
1,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,2
1,4
1,5
1,2
1,1
1,2
1,2
1,2
1,1
1,1
1,3
1,0
1,0
1,1
1,1
1,1
1,0
1,1
1,1
1,1
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,2
1,0
1,0
1,2
1,0
1,0
1,2
1,0
1,0
1,0
1,2
1,0
1,0
1,4
1,0
1,0
1,0
1,0
1,0
1,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,2
1,1
1,0
1,6
1,0
1,0
1,0
1,3
1,8
1,8
1,2
1,12
1,6
1,5
1,6
1,16
1,7
1,2
1,2
1,6
1,7
1,8
1,2
1,4
1,6
1,4
1,7
1,6
1,8
1,9
1,15
1,9
1,7
1,7
1,13
1,6
1,6
1,1
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,1
1,0
1,1
1,0
1,0
1,1
1,0
1,2
1,2
1,0
1,0
1,1
1,0
1,0
1,2
1,2
1,0
1,2
1,1
1,1
1,2
1,0
1,0
1,0
1,0
1,0
1,0
1,2
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,2
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,2
1,3
1,1
1,2
1,0
1,1
1,0
1,0
1,1
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,2
1,0
1,1
1,1
1,1
1,1
1,3
1,4
1,6
1,3
1,10
1,13
1,27
1,17
1,40
1,46
1,68
1,54
1,42
1,34
1,19
1,10
1,11
1,6
1,3
1,6
1,4
1,2
1,1
1,1
1,0
1,2
1,0
1,0
1,1
1,1
1,1
1,2
1,2
1,0
1,1
1,0
1,0
1,3
1,1
1,1
1,1
1,2
1,0
1,2
1,1
1,1
1,0
1,0
1,4
1,1
1,0
1,3
1,3
1,1
1,3
1,9
1,4
1,13
1,9
1,12
1,9
1,8
1,4
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,2
1,5
1,2
1,6
1,7
1,6
1,10
1,14
1,11
1,4
1,7
1,17
1,22
1,42
1,36
1,50
1,30
1,33
1,49
1,36
1,34
1,27
1,53
1,44
1,25
1,32
1,27
1,25
1,10
1,9
1,4
1,5
1,3
1,4
1,5
1,1
1,0
1,3
1,0
1,0
1,0
1,3
1,4
1,2
1,1
1,1
1,1
1,3
1,0
1,2
1,1
1,4
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,1
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,1
1,0
1,2
1,0
1,0
1,2
1,2
1,0
1,2
1,2
1,0
1,0
1,2
1,0
1,1
1,1
1,13
1,16
1,13
1,7
1,13
1,6
1,3
1,2
1,0
1,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
