ds, y 
17/10/2008,0.286
18/10/2008,0.286
19/10/2008,0.286
20/10/2008,0.286
21/10/2008,0.000
22/10/2008,0.000
23/10/2008,0.000
24/10/2008,0.000
25/10/2008,0.000
26/10/2008,0.000
27/10/2008,0.000
28/10/2008,0.000
29/10/2008,0.000
30/10/2008,0.000
31/10/2008,0.000
01/11/2008,0.000
02/11/2008,0.000
03/11/2008,0.000
04/11/2008,0.000
05/11/2008,0.000
06/11/2008,0.000
07/11/2008,0.000
08/11/2008,0.000
09/11/2008,0.000
10/11/2008,0.000
11/11/2008,0.000
12/11/2008,0.000
13/11/2008,0.000
14/11/2008,0.000
15/11/2008,0.000
16/11/2008,0.000
17/11/2008,0.000
18/11/2008,0.000
19/11/2008,0.000
20/11/2008,0.000
21/11/2008,0.000
22/11/2008,0.000
23/11/2008,0.000
24/11/2008,0.000
25/11/2008,0.000
26/11/2008,0.000
27/11/2008,0.000
28/11/2008,0.000
29/11/2008,0.000
30/11/2008,0.000
01/12/2008,0.000
02/12/2008,0.000
03/12/2008,0.000
04/12/2008,0.000
05/12/2008,0.000
06/12/2008,0.000
07/12/2008,0.000
08/12/2008,0.000
09/12/2008,0.000
10/12/2008,0.000
11/12/2008,0.000
12/12/2008,0.000
13/12/2008,0.000
14/12/2008,0.000
15/12/2008,0.000
16/12/2008,0.000
17/12/2008,0.000
18/12/2008,0.000
19/12/2008,0.000
20/12/2008,0.000
21/12/2008,0.000
22/12/2008,0.000
23/12/2008,0.000
24/12/2008,0.000
25/12/2008,0.000
26/12/2008,0.000
27/12/2008,0.000
28/12/2008,0.000
29/12/2008,0.000
30/12/2008,0.000
31/12/2008,0.000
01/01/2009,0.000
02/01/2009,0.000
03/01/2009,0.000
04/01/2009,0.000
05/01/2009,0.000
06/01/2009,0.000
07/01/2009,0.000
08/01/2009,0.000
09/01/2009,0.000
10/01/2009,0.000
11/01/2009,0.000
12/01/2009,0.000
13/01/2009,0.000
14/01/2009,0.000
15/01/2009,0.000
16/01/2009,0.000
17/01/2009,0.000
18/01/2009,0.000
19/01/2009,0.000
20/01/2009,0.143
21/01/2009,0.143
22/01/2009,0.143
23/01/2009,0.143
24/01/2009,0.143
25/01/2009,0.143
26/01/2009,0.143
27/01/2009,0.143
28/01/2009,0.143
29/01/2009,0.143
30/01/2009,0.143
31/01/2009,0.143
01/02/2009,0.143
02/02/2009,0.143
03/02/2009,0.286
04/02/2009,0.286
05/02/2009,0.286
06/02/2009,0.286
07/02/2009,0.286
08/02/2009,0.286
09/02/2009,0.286
10/02/2009,0.571
11/02/2009,0.571
12/02/2009,0.571
13/02/2009,0.571
14/02/2009,0.571
15/02/2009,0.571
16/02/2009,0.571
17/02/2009,0.714
18/02/2009,0.714
19/02/2009,0.714
20/02/2009,0.714
21/02/2009,0.714
22/02/2009,0.714
23/02/2009,0.714
24/02/2009,0.286
25/02/2009,0.286
26/02/2009,0.286
27/02/2009,0.286
28/02/2009,0.286
01/03/2009,0.286
02/03/2009,0.286
03/03/2009,0.143
04/03/2009,0.143
05/03/2009,0.143
06/03/2009,0.143
07/03/2009,0.143
08/03/2009,0.143
09/03/2009,0.143
10/03/2009,0.286
11/03/2009,0.286
12/03/2009,0.286
13/03/2009,0.286
14/03/2009,0.286
15/03/2009,0.286
16/03/2009,0.286
17/03/2009,0.286
18/03/2009,0.286
19/03/2009,0.286
20/03/2009,0.286
21/03/2009,0.286
22/03/2009,0.286
23/03/2009,0.286
24/03/2009,0.286
25/03/2009,0.286
26/03/2009,0.286
27/03/2009,0.286
28/03/2009,0.286
29/03/2009,0.286
30/03/2009,0.286
31/03/2009,0.143
01/04/2009,0.143
02/04/2009,0.143
03/04/2009,0.143
04/04/2009,0.143
05/04/2009,0.143
06/04/2009,0.143
07/04/2009,0.143
08/04/2009,0.143
09/04/2009,0.143
10/04/2009,0.143
11/04/2009,0.143
12/04/2009,0.143
13/04/2009,0.143
14/04/2009,0.429
15/04/2009,0.429
16/04/2009,0.429
17/04/2009,0.429
18/04/2009,0.429
19/04/2009,0.429
20/04/2009,0.429
