ds,exo
2013-10-18,4.2
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,2.5
2013-10-22,36.8
2013-10-23,0.0
2013-10-24,40.5
2013-10-25,9.0
2013-10-26,0.0
2013-10-27,34.5
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,0.0
2013-11-02,0.0
2013-11-03,1.3
2013-11-04,6.6
2013-11-05,0.0
2013-11-06,0.0
2013-11-07,0.0
2013-11-08,0.0
2013-11-09,0.0
2013-11-10,0.0
2013-11-11,0.3
2013-11-12,32.4
2013-11-13,0.0
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,20.2
2013-11-17,0.2
2013-11-18,0.0
2013-11-19,0.0
2013-11-20,18.9
2013-11-21,14.5
2013-11-22,7.9
2013-11-23,0.2
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,1.8
2013-11-27,0.2
2013-11-28,0.0
2013-11-29,1.2
2013-11-30,17.1
2013-12-01,1.6
2013-12-02,16.7
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,6.0
2013-12-06,29.6
2013-12-07,0.0
2013-12-08,0.0
2013-12-09,0.0
2013-12-10,21.5
2013-12-11,0.0
2013-12-12,5.6
2013-12-13,0.0
2013-12-14,12.2
2013-12-15,0.4
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,0.0
2013-12-21,0.2
2013-12-22,0.0
2013-12-23,2.7
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-28,2.4
2013-12-29,0.0
2013-12-30,0.0
2013-12-31,10.9
2014-01-01,13.3
2014-01-02,14.3
2014-01-03,40.5
2014-01-04,22.7
2014-01-05,0.0
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,0.2
2014-01-09,3.1
2014-01-10,1.2
2014-01-11,19.2
2014-01-12,27.5
2014-01-13,18.7
2014-01-14,0.0
2014-01-15,0.0
2014-01-16,8.0
2014-01-17,0.6
2014-01-18,0.0
2014-01-19,0.0
2014-01-20,0.0
2014-01-21,0.0
2014-01-22,0.0
2014-01-23,0.0
2014-01-24,0.2
2014-01-25,7.9
2014-01-26,36.2
2014-01-27,0.0
2014-01-28,0.4
2014-01-29,0.0
2014-01-30,4.2
2014-01-31,0.5
2014-02-01,0.4
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,0.9
2014-02-05,1.8
2014-02-06,1.2
2014-02-07,7.1
2014-02-08,0.0
2014-02-09,23.4
2014-02-10,3.6
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,24.9
2014-02-14,34.1
2014-02-15,1.3
2014-02-16,0.0
2014-02-17,0.0
2014-02-18,0.0
2014-02-19,0.0
