Data_Notificacao,Infectados_Dengue,Semana,Ano
18/07/2007,159,29,2007
19/07/2007,86,29,2007
20/07/2007,142,29,2007
21/07/2007,26,29,2007
22/07/2007,34,30,2007
23/07/2007,160,30,2007
24/07/2007,121,30,2007
25/07/2007,128,30,2007
26/07/2007,126,30,2007
27/07/2007,132,30,2007
28/07/2007,30,30,2007
29/07/2007,28,31,2007
30/07/2007,129,31,2007
31/07/2007,88,31,2007
01/08/2007,151,31,2007
02/08/2007,78,31,2007
03/08/2007,90,31,2007
04/08/2007,56,31,2007
05/08/2007,16,32,2007
06/08/2007,105,32,2007
07/08/2007,79,32,2007
08/08/2007,101,32,2007
09/08/2007,62,32,2007
10/08/2007,55,32,2007
11/08/2007,26,32,2007
12/08/2007,12,33,2007
13/08/2007,121,33,2007
14/08/2007,53,33,2007
15/08/2007,70,33,2007
16/08/2007,59,33,2007
17/08/2007,63,33,2007
18/08/2007,37,33,2007
19/08/2007,26,34,2007
20/08/2007,100,34,2007
21/08/2007,54,34,2007
22/08/2007,59,34,2007
23/08/2007,30,34,2007
24/08/2007,61,34,2007
25/08/2007,26,34,2007
26/08/2007,12,35,2007
27/08/2007,110,35,2007
28/08/2007,70,35,2007
29/08/2007,67,35,2007
30/08/2007,16,35,2007
31/08/2007,48,35,2007
01/09/2007,18,35,2007
02/09/2007,18,36,2007
03/09/2007,58,36,2007
04/09/2007,54,36,2007
05/09/2007,64,36,2007
06/09/2007,20,36,2007
07/09/2007,20,36,2007
08/09/2007,16,36,2007
09/09/2007,10,37,2007
10/09/2007,107,37,2007
11/09/2007,39,37,2007
12/09/2007,60,37,2007
13/09/2007,26,37,2007
14/09/2007,40,37,2007
15/09/2007,33,37,2007
16/09/2007,11,38,2007
17/09/2007,78,38,2007
18/09/2007,30,38,2007
19/09/2007,57,38,2007
20/09/2007,24,38,2007
21/09/2007,54,38,2007
22/09/2007,22,38,2007
23/09/2007,10,39,2007
24/09/2007,41,39,2007
25/09/2007,31,39,2007
26/09/2007,35,39,2007
27/09/2007,25,39,2007
28/09/2007,26,39,2007
29/09/2007,24,39,2007
30/09/2007,6,40,2007
01/10/2007,42,40,2007
02/10/2007,26,40,2007
03/10/2007,28,40,2007
04/10/2007,26,40,2007
05/10/2007,18,40,2007
06/10/2007,2,40,2007
07/10/2007,2,41,2007
08/10/2007,34,41,2007
09/10/2007,36,41,2007
10/10/2007,37,41,2007
11/10/2007,32,41,2007
12/10/2007,18,41,2007
13/10/2007,12,41,2007
14/10/2007,6,42,2007
15/10/2007,69,42,2007
16/10/2007,18,42,2007
17/10/2007,51,42,2007
18/10/2007,20,42,2007
19/10/2007,48,42,2007
20/10/2007,6,42,2007
21/10/2007,6,43,2007
22/10/2007,48,43,2007
23/10/2007,40,43,2007
24/10/2007,36,43,2007
25/10/2007,29,43,2007
26/10/2007,34,43,2007
27/10/2007,18,43,2007
28/10/2007,6,44,2007
29/10/2007,41,44,2007
30/10/2007,46,44,2007
31/10/2007,49,44,2007
01/11/2007,17,44,2007
02/11/2007,6,44,2007
03/11/2007,8,44,2007
04/11/2007,14,45,2007
05/11/2007,66,45,2007
06/11/2007,43,45,2007
07/11/2007,52,45,2007
08/11/2007,30,45,2007
09/11/2007,24,45,2007
10/11/2007,20,45,2007
11/11/2007,8,46,2007
12/11/2007,50,46,2007
13/11/2007,33,46,2007
14/11/2007,48,46,2007
15/11/2007,4,46,2007
16/11/2007,38,46,2007
17/11/2007,16,46,2007
18/11/2007,12,47,2007
19/11/2007,56,47,2007
20/11/2007,38,47,2007
21/11/2007,40,47,2007
22/11/2007,33,47,2007
23/11/2007,48,47,2007
24/11/2007,12,47,2007
25/11/2007,6,48,2007
26/11/2007,50,48,2007
27/11/2007,56,48,2007
28/11/2007,52,48,2007
29/11/2007,25,48,2007
30/11/2007,46,48,2007
01/12/2007,14,48,2007
02/12/2007,17,49,2007
03/12/2007,57,49,2007
04/12/2007,32,49,2007
05/12/2007,76,49,2007
06/12/2007,29,49,2007
07/12/2007,40,49,2007
08/12/2007,6,49,2007
09/12/2007,14,50,2007
10/12/2007,60,50,2007
11/12/2007,30,50,2007
12/12/2007,58,50,2007
13/12/2007,42,50,2007
14/12/2007,35,50,2007
15/12/2007,12,50,2007
16/12/2007,9,51,2007
17/12/2007,52,51,2007
18/12/2007,24,51,2007
19/12/2007,61,51,2007
20/12/2007,39,51,2007
21/12/2007,32,51,2007
22/12/2007,6,51,2007
23/12/2007,8,52,2007
24/12/2007,16,52,2007
25/12/2007,2,52,2007
26/12/2007,90,52,2007
27/12/2007,45,52,2007
28/12/2007,24,52,2007
29/12/2007,20,52,2007
30/12/2007,8,53,2007
31/12/2007,12,53,2007
01/01/2008,14,1,2008
02/01/2008,92,1,2008
03/01/2008,34,1,2008
04/01/2008,40,1,2008
05/01/2008,8,1,2008
06/01/2008,18,2,2008
07/01/2008,62,2,2008
08/01/2008,46,2,2008
09/01/2008,77,2,2008
10/01/2008,43,2,2008
11/01/2008,48,2,2008
12/01/2008,16,2,2008
13/01/2008,10,3,2008
14/01/2008,41,3,2008
15/01/2008,55,3,2008
16/01/2008,92,3,2008
17/01/2008,42,3,2008
18/01/2008,42,3,2008
19/01/2008,30,3,2008
20/01/2008,24,4,2008
21/01/2008,88,4,2008
22/01/2008,76,4,2008
23/01/2008,98,4,2008
24/01/2008,46,4,2008
25/01/2008,62,4,2008
26/01/2008,36,4,2008
27/01/2008,21,5,2008
28/01/2008,120,5,2008
29/01/2008,60,5,2008
30/01/2008,110,5,2008
31/01/2008,119,5,2008
01/02/2008,128,5,2008
02/02/2008,50,5,2008
03/02/2008,36,6,2008
04/02/2008,49,6,2008
05/02/2008,37,6,2008
06/02/2008,94,6,2008
07/02/2008,140,6,2008
08/02/2008,173,6,2008
09/02/2008,63,6,2008
10/02/2008,54,7,2008
11/02/2008,179,7,2008
12/02/2008,89,7,2008
13/02/2008,125,7,2008
