Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
82397,19/02/2007,1200,5.3,,23.5,,,,,
82397,20/02/2007,0,,29.4,,1.3,1.4,25.62,84.75,2.033333
82397,20/02/2007,1200,6.6,,22.6,,,,,
82397,21/02/2007,0,,31.6,,6.4,1.3,27.08,76,2.6
82397,21/02/2007,1200,1.4,,23,,,,,
82397,22/02/2007,0,,31,,9.6,4,26.98,80.75,2.433333
82397,22/02/2007,1200,14.8,,22.7,,,,,
82397,23/02/2007,0,,27,,0,3.4,24.08,95.25,0.866667
82397,23/02/2007,1200,91,,22.4,,,,,
82397,24/02/2007,0,,30.2,,2.9,0.3,25.68,85,1.8
82397,24/02/2007,1200,7,,22.6,,,,,
82397,25/02/2007,0,,30.8,,8.4,2.7,27.18,79.75,3.033333
82397,25/02/2007,1200,0.6,,23.6,,,,,
82397,26/02/2007,0,,31.4,,9.3,3.5,27.74,79,3.733333
82397,26/02/2007,1200,0.4,,24.1,,,,,
82397,27/02/2007,0,,32.3,,11,4.7,28.2,74.5,3.166667
82397,27/02/2007,1200,0,,24.3,,,,,
82397,28/02/2007,0,,30.6,,2.6,5.7,26.42,84.25,2.566667
82397,28/02/2007,1200,4.2,,23.3,,,,,
82397,01/03/2007,0,,31,,5.3,2.4,26.68,83.75,3
82397,01/03/2007,1200,8.3,,23.4,,,,,
82397,02/03/2007,0,,28.6,,0,2.6,25.64,90,1.866667
82397,02/03/2007,1200,40.4,,23.4,,,,,
82397,03/03/2007,0,,30.4,,1.1,1.3,25.46,89.75,1.8
82397,03/03/2007,1200,10.9,,23.4,,,,,
82397,04/03/2007,0,,31.8,,9.6,1.9,27.08,77.75,2.466667
82397,04/03/2007,1200,8.9,,22.7,,,,,
82397,05/03/2007,0,,31.5,,10.7,4.4,27.64,78.25,3.433333
82397,05/03/2007,1200,1.3,,22.9,,,,,
82397,06/03/2007,0,,31,,6.7,4.9,27.32,79,2.633333
82397,06/03/2007,1200,1.2,,24,,,,,
82397,07/03/2007,0,,31.2,,1.7,3.5,26.92,83.25,2.233333
82397,07/03/2007,1200,4.4,,24.5,,,,,
82397,08/03/2007,0,,31.7,,4.3,2.5,27.54,78.75,2.2
82397,08/03/2007,1200,3.2,,24.7,,,,,
82397,09/03/2007,0,,31.8,,9.3,4.2,27.62,80.25,2.2
82397,09/03/2007,1200,0.6,,24.7,,,,,
82397,10/03/2007,0,,32.1,,6,4.3,27.74,77.25,2.9
82397,10/03/2007,1200,3.6,,24.6,,,,,
82397,11/03/2007,0,,28,,0,4.3,25.04,93.25,0.933333
82397,11/03/2007,1200,31.6,,22.8,,,,,
82397,12/03/2007,0,,31,,1.7,0.8,25.46,86.5,3.1
82397,12/03/2007,1200,72.5,,21.9,,,,,
82397,13/03/2007,0,,28.4,,0,2.4,24.94,92.5,1
82397,13/03/2007,1200,44.4,,21.7,,,,,
82397,14/03/2007,0,,31.2,,8.9,1,27.16,78.25,2.966667
82397,14/03/2007,1200,8.8,,23.3,,,,,
82397,15/03/2007,0,,31.2,,7.1,3.8,27.04,79,3.7
82397,15/03/2007,1200,2.8,,23.2,,,,,
82397,16/03/2007,0,,32.5,,7.8,4.2,27.52,74.75,2.233333
82397,16/03/2007,1200,8.2,,23.3,,,,,
82397,17/03/2007,0,,27.4,,0,3.5,25.54,93.25,0.833333
82397,17/03/2007,1200,8,,24.3,,,,,
82397,18/03/2007,0,,30.4,,5.1,0.5,26.74,85.25,1.866667
82397,18/03/2007,1200,5.3,,23.5,,,,,
82397,19/03/2007,0,,32,,8.9,3,27.62,81.25,2.566667
82397,19/03/2007,1200,0.7,,23.7,,,,,
82397,20/03/2007,0,,31.2,,2.3,3.1,27.3,81.75,1.133333
82397,20/03/2007,1200,12.2,,24.5,,,,,
82397,21/03/2007,0,,29.8,,1,2.6,27.48,78.5,2.476293
82397,21/03/2007,1200,0.4,,24.5,,,,,
82397,22/03/2007,0,,31.2,,6.2,5.5,27.5,77.5,2.233333
82397,22/03/2007,1200,1.7,,24.1,,,,,
82397,23/03/2007,0,,31.9,,5.2,3,27.6,80,2.8
82397,23/03/2007,1200,5.9,,23.9,,,,,
82397,24/03/2007,0,,30.9,,9.1,3.1,27.58,79,2.633333
82397,24/03/2007,1200,23.2,,23.5,,,,,
82397,25/03/2007,0,,31.5,,8.9,3.6,27.18,82.25,2.833333
82397,25/03/2007,1200,12,,24.7,,,,,
82397,26/03/2007,0,,31.8,,9.1,3.3,27.5,80.25,2.866667
82397,26/03/2007,1200,0,,24.1,,,,,
82397,27/03/2007,0,,29.4,,0,5.1,26.14,88.25,1.633333
82397,27/03/2007,1200,4.2,,24.3,,,,,
82397,28/03/2007,0,,31.8,,3.8,1.8,27.58,82.5,2.933333
82397,28/03/2007,1200,12.9,,24.5,,,,,
82397,29/03/2007,0,,32.5,,9.8,3.3,27.96,74.75,2.566667
82397,29/03/2007,1200,0,,24.2,,,,,
82397,30/03/2007,0,,31.9,,10.7,5.2,28.06,74.5,3.066667
82397,30/03/2007,1200,0,,24.9,,,,,
82397,31/03/2007,0,,31.5,,6.7,4.2,27.96,76.5,3.1
82397,31/03/2007,1200,2.9,,24.3,,,,,
82397,01/04/2007,0,,32.6,,10.2,3.6,28.84,74.5,3.633333
82397,01/04/2007,1200,0,,25.8,,,,,
82397,02/04/2007,0,,32.9,,8.1,5.4,28.14,73.25,2.033333
82397,02/04/2007,1200,0,,24.6,,,,,
82397,03/04/2007,0,,32,,9.1,5,28.2,75.25,3.233333
82397,03/04/2007,1200,6,,24.1,,,,,
82397,04/04/2007,0,,31.3,,6.9,5.6,27.68,78.25,2.733333
82397,04/04/2007,1200,0.8,,24.5,,,,,
82397,05/04/2007,0,,31.9,,9.5,3.7,28.1,77.25,2.4
82397,05/04/2007,1200,2.5,,25.1,,,,,
82397,06/04/2007,0,,34,,5.5,6,28.74,77.5,3.033333
82397,06/04/2007,1200,0,,25.9,,,,,
82397,07/04/2007,0,,32.5,,8.8,3.5,28.3,78.25,2.466667
82397,07/04/2007,1200,0,,24.8,,,,,
82397,08/04/2007,0,,32.6,,8.3,4.2,28.46,77.25,2.4
82397,08/04/2007,1200,0,,24.9,,,,,
82397,09/04/2007,0,,31.4,,4.6,3.8,27.88,80.5,2.433333
82397,09/04/2007,1200,9,,24.9,,,,,
82397,10/04/2007,0,,30.8,,1.5,3.1,27.02,88.25,1.566667
82397,10/04/2007,1200,19.6,,24.3,,,,,
82397,11/04/2007,0,,30.4,,1.9,1.6,26.48,83.75,2.2
82397,11/04/2007,1200,14.1,,23,,,,,
82397,12/04/2007,0,,30.8,,9.5,2,26.52,80.25,2.3
82397,12/04/2007,1200,6.8,,24,,,,,
82397,13/04/2007,0,,31.1,,8.3,3,27.22,76.75,2.733333
82397,13/04/2007,1200,51,,22.6,,,,,
82397,14/04/2007,0,,31,,9.5,3.1,27.28,79,3.066667
82397,14/04/2007,1200,0.9,,23.7,,,,,
82397,15/04/2007,0,,30.9,,6.2,4,27.44,82.75,2.633333
82397,15/04/2007,1200,7.2,,24.7,,,,,
82397,16/04/2007,0,,30.8,,2.9,3.5,27.14,82.5,2.5
82397,16/04/2007,1200,4,,24.1,,,,,
82397,17/04/2007,0,,29.1,,0,2.1,26.28,90,1.5
82397,17/04/2007,1200,15.2,,24.3,,,,,
82397,18/04/2007,0,,29,,0.8,1.5,25.22,90.25,1.6
82397,18/04/2007,1200,60.2,,22.3,,,,,
82397,19/04/2007,0,,31.2,,9.6,1.6,26.88,83,1.7
82397,19/04/2007,1200,0,,23.7,,,,,
82397,20/04/2007,0,,30.8,,9,2.7,26.92,82.5,2.9
82397,20/04/2007,1200,0.4,,23.3,,,,,
82397,21/04/2007,0,,29.8,,1,2.3,25.54,90.75,2.7
82397,21/04/2007,1200,80,,23,,,,,
82397,22/04/2007,0,,31.2,,4,1.6,26.66,84,1.933333
82397,22/04/2007,1200,4.7,,23.9,,,,,
82397,23/04/2007,0,,29.9,,0.1,2.2,26.58,86.75,1.4
82397,23/04/2007,1200,1.1,,24.6,,,,,
82397,24/04/2007,0,,29.7,,0.5,1.2,26.14,91,1.133333
82397,24/04/2007,1200,8.4,,23.9,,,,,
82397,25/04/2007,0,,30.6,,3.4,1.1,25.84,88,1.033333
82397,25/04/2007,1200,5.5,,23.5,,,,,
82397,26/04/2007,0,,28.6,,0.4,1.7,25.54,90,1.233333
82397,26/04/2007,1200,10.6,,23.7,,,,,
82397,27/04/2007,0,,29.4,,0.2,1,25.68,90.5,1.566667
82397,27/04/2007,1200,20,,23,,,,,
82397,28/04/2007,0,,30.8,,5.1,1.3,26.84,88.5,2.133333
82397,28/04/2007,1200,18.9,,24.2,,,,,
82397,29/04/2007,0,,31,,7.4,2.1,26.48,82.75,1.766667
82397,29/04/2007,1200,4.3,,23.6,,,,,
