Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Semana,Ano
82397,01/01/2007,0,,30.6,,8.3,7.3,28,74,3.97184,1,2007
82397,01/01/2007,1200,0,,27.4,,,,,,1,2007
82397,02/01/2007,0,,32,,11.3,6.9,28.82,69.5,3.966667,1,2007
82397,02/01/2007,1200,0,,27.1,,,,,,1,2007
82397,03/01/2007,0,,29.5,,1.3,8.2,27.24,81.75,2.433333,1,2007
82397,03/01/2007,1200,0.5,,25.9,,,,,,1,2007
82397,04/01/2007,0,,31.3,,11.2,3.1,27.8,71.5,3.166667,1,2007
82397,04/01/2007,1200,7.9,,25.9,,,,,,1,2007
82397,05/01/2007,0,,28.7,,3,5.9,26.52,83.75,3.766667,1,2007
82397,05/01/2007,1200,2.7,,24,,,,,,1,2007
82397,06/01/2007,0,,31.5,,10.4,3.6,27.94,73.75,4.3,1,2007
82397,06/01/2007,1200,6.8,,24.9,,,,,,1,2007
82397,07/01/2007,0,,31.2,,7.8,7,27.6,82.25,3.5,2,2007
82397,07/01/2007,1200,10,,25,,,,,,2,2007
82397,08/01/2007,0,,32.1,,9.5,5.3,28.12,75.25,4.333333,2,2007
82397,08/01/2007,1200,1.6,,25.1,,,,,,2,2007
82397,09/01/2007,0,,31.2,,4.7,7.9,27.74,82,2.766667,2,2007
82397,09/01/2007,1200,6,,25.9,,,,,,2,2007
82397,10/01/2007,0,,31.6,,10.3,2.1,27.96,78,3.533333,2,2007
82397,10/01/2007,1200,0.6,,25.3,,,,,,2,2007
82397,11/01/2007,0,,31.8,,7.1,5.7,27.98,78.25,3.033333,2,2007
82397,11/01/2007,1200,0,,25.3,,,,,,2,2007
82397,12/01/2007,0,,31.7,,8.7,5.4,28.22,73.25,3.133333,2,2007
82397,12/01/2007,1200,0,,25.7,,,,,,2,2007
82397,13/01/2007,0,,31.3,,10.5,6.7,27.82,72.25,3.166667,2,2007
82397,13/01/2007,1200,0,,25.4,,,,,,2,2007
82397,14/01/2007,0,,31.9,,7,5.5,28.12,76.25,3.7,3,2007
82397,14/01/2007,1200,0,,25.1,,,,,,3,2007
82397,15/01/2007,0,,32.3,,3.3,6.2,28.6,75.75,2.666667,3,2007
82397,15/01/2007,1200,0,,26.7,,,,,,3,2007
82397,16/01/2007,0,,32.3,,10,6.3,28.98,74.5,3.866667,3,2007
82397,16/01/2007,1200,0,,27.2,,,,,,3,2007
82397,17/01/2007,0,,32.7,,8.5,6.4,28.42,75,3.866667,3,2007
82397,17/01/2007,1200,0,,26.8,,,,,,3,2007
82397,18/01/2007,0,,32.6,,9.1,6.6,28.38,69.75,3.766667,3,2007
82397,18/01/2007,1200,1.2,,25.8,,,,,,3,2007
82397,19/01/2007,0,,32.1,,10.6,7.3,28.44,75.25,3.533333,3,2007
82397,19/01/2007,1200,0,,25.9,,,,,,3,2007
82397,20/01/2007,0,,32.2,,10.8,0.9,28.88,74.25,3.566667,3,2007
82397,20/01/2007,1200,0,,27.4,,,,,,3,2007
82397,21/01/2007,0,,32.5,,10.6,6.2,28.72,70.5,2.9,4,2007
82397,21/01/2007,1200,0,,26.1,,,,,,4,2007
82397,22/01/2007,0,,32.7,,9.7,7.6,28.32,72.75,3.333333,4,2007
82397,22/01/2007,1200,0,,25.7,,,,,,4,2007
82397,23/01/2007,0,,31.7,,5.7,5.7,28,75.25,2.333333,4,2007
82397,23/01/2007,1200,0,,25.1,,,,,,4,2007
82397,24/01/2007,0,,31.9,,6.5,4.5,28.28,76,3.566667,4,2007
82397,24/01/2007,1200,0,,25.7,,,,,,4,2007
82397,25/01/2007,0,,30.8,,8.4,6,28.6,76.75,3.91444,4,2007
82397,25/01/2007,1200,0,,27.4,,,,,,4,2007
82397,26/01/2007,0,,33.1,,10.3,7.3,29.22,71.25,3.566667,4,2007
82397,26/01/2007,1200,0,,27.4,,,,,,4,2007
