semana,ano,cidade,infectados
18,2011,Fortaleza,1582
19,2011,Fortaleza,1609
20,2011,Fortaleza,1316
21,2011,Fortaleza,1021
22,2011,Fortaleza,783
23,2011,Fortaleza,609
24,2011,Fortaleza,468
25,2011,Fortaleza,378
26,2011,Fortaleza,292
27,2011,Fortaleza,251
28,2011,Fortaleza,181
29,2011,Fortaleza,186
30,2011,Fortaleza,196
31,2011,Fortaleza,178
32,2011,Fortaleza,116
33,2011,Fortaleza,128
34,2011,Fortaleza,134
35,2011,Fortaleza,94
36,2011,Fortaleza,104
37,2011,Fortaleza,109
38,2011,Fortaleza,111
39,2011,Fortaleza,93
40,2011,Fortaleza,103
41,2011,Fortaleza,101
42,2011,Fortaleza,84
43,2011,Fortaleza,73
44,2011,Fortaleza,104
45,2011,Fortaleza,79
46,2011,Fortaleza,84
47,2011,Fortaleza,98
48,2011,Fortaleza,128
49,2011,Fortaleza,127
50,2011,Fortaleza,82
51,2011,Fortaleza,106
52,2011,Fortaleza,272
1,2012,Fortaleza,103
2,2012,Fortaleza,127
3,2012,Fortaleza,175
4,2012,Fortaleza,185
5,2012,Fortaleza,236
6,2012,Fortaleza,229
7,2012,Fortaleza,219
8,2012,Fortaleza,312
9,2012,Fortaleza,437
10,2012,Fortaleza,519
11,2012,Fortaleza,740
12,2012,Fortaleza,884
13,2012,Fortaleza,870
14,2012,Fortaleza,985
15,2012,Fortaleza,1429
16,2012,Fortaleza,2111
17,2012,Fortaleza,2687
18,2012,Fortaleza,4188
19,2012,Fortaleza,5187
20,2012,Fortaleza,4907
21,2012,Fortaleza,3234
22,2012,Fortaleza,1963
23,2012,Fortaleza,1401
24,2012,Fortaleza,955
25,2012,Fortaleza,611
26,2012,Fortaleza,436
27,2012,Fortaleza,299
28,2012,Fortaleza,229
29,2012,Fortaleza,174
30,2012,Fortaleza,177
31,2012,Fortaleza,141
32,2012,Fortaleza,95
33,2012,Fortaleza,96
34,2012,Fortaleza,86
35,2012,Fortaleza,52
36,2012,Fortaleza,52
37,2012,Fortaleza,40
38,2012,Fortaleza,39
39,2012,Fortaleza,35
40,2012,Fortaleza,33
41,2012,Fortaleza,35
42,2012,Fortaleza,38
43,2012,Fortaleza,25
44,2012,Fortaleza,16
45,2012,Fortaleza,26
46,2012,Fortaleza,22
47,2012,Fortaleza,30
48,2012,Fortaleza,21
49,2012,Fortaleza,44
50,2012,Fortaleza,18
51,2012,Fortaleza,32
52,2012,Fortaleza,43
1,2013,Fortaleza,49
2,2013,Fortaleza,46
3,2013,Fortaleza,52
4,2013,Fortaleza,86
5,2013,Fortaleza,58
6,2013,Fortaleza,56
7,2013,Fortaleza,74
8,2013,Fortaleza,116
9,2013,Fortaleza,107
10,2013,Fortaleza,121
11,2013,Fortaleza,107
12,2013,Fortaleza,116
13,2013,Fortaleza,158
14,2013,Fortaleza,254
15,2013,Fortaleza,304
16,2013,Fortaleza,303
17,2013,Fortaleza,334
18,2013,Fortaleza,298
19,2013,Fortaleza,279
20,2013,Fortaleza,362
21,2013,Fortaleza,339
22,2013,Fortaleza,362
23,2013,Fortaleza,376
24,2013,Fortaleza,375
25,2013,Fortaleza,411
26,2013,Fortaleza,356
27,2013,Fortaleza,396
28,2013,Fortaleza,375
29,2013,Fortaleza,317
30,2013,Fortaleza,346
31,2013,Fortaleza,423
32,2013,Fortaleza,331
33,2013,Fortaleza,311
34,2013,Fortaleza,235
35,2013,Fortaleza,153
36,2013,Fortaleza,133
37,2013,Fortaleza,126
38,2013,Fortaleza,90
39,2013,Fortaleza,81
40,2013,Fortaleza,69
41,2013,Fortaleza,76
42,2013,Fortaleza,42
43,2013,Fortaleza,54
44,2013,Fortaleza,37
45,2013,Fortaleza,35
46,2013,Fortaleza,28
47,2013,Fortaleza,54
48,2013,Fortaleza,30
49,2013,Fortaleza,33
50,2013,Fortaleza,54
51,2013,Fortaleza,28
52,2013,Fortaleza,25
1,2014,Fortaleza,23
2,2014,Fortaleza,33
3,2014,Fortaleza,37
4,2014,Fortaleza,54
5,2014,Fortaleza,55
6,2014,Fortaleza,51
7,2014,Fortaleza,68
8,2014,Fortaleza,60
9,2014,Fortaleza,49
10,2014,Fortaleza,54
11,2014,Fortaleza,46
12,2014,Fortaleza,77
13,2014,Fortaleza,66
14,2014,Fortaleza,146
15,2014,Fortaleza,86
16,2014,Fortaleza,88
17,2014,Fortaleza,94
18,2014,Fortaleza,117
19,2014,Fortaleza,171
20,2014,Fortaleza,177
21,2014,Fortaleza,269
22,2014,Fortaleza,302
23,2014,Fortaleza,334
24,2014,Fortaleza,248
25,2014,Fortaleza,227
26,2014,Fortaleza,226
27,2014,Fortaleza,212
28,2014,Fortaleza,224
29,2014,Fortaleza,197
30,2014,Fortaleza,162
31,2014,Fortaleza,155
32,2014,Fortaleza,138
33,2014,Fortaleza,108
34,2014,Fortaleza,109
35,2014,Fortaleza,94
36,2014,Fortaleza,97
37,2014,Fortaleza,74
38,2014,Fortaleza,77
39,2014,Fortaleza,55
40,2014,Fortaleza,72
41,2014,Fortaleza,52
42,2014,Fortaleza,53
43,2014,Fortaleza,37
44,2014,Fortaleza,34
45,2014,Fortaleza,44
46,2014,Fortaleza,39
47,2014,Fortaleza,35
48,2014,Fortaleza,31
49,2014,Fortaleza,26
50,2014,Fortaleza,32
51,2014,Fortaleza,30
52,2014,Fortaleza,29
1,2015,Fortaleza,31
2,2015,Fortaleza,59
3,2015,Fortaleza,68
4,2015,Fortaleza,82
5,2015,Fortaleza,115
6,2015,Fortaleza,141
7,2015,Fortaleza,139
8,2015,Fortaleza,155
9,2015,Fortaleza,206
10,2015,Fortaleza,312
11,2015,Fortaleza,372
12,2015,Fortaleza,391
13,2015,Fortaleza,434
14,2015,Fortaleza,425
15,2015,Fortaleza,608
16,2015,Fortaleza,901
17,2015,Fortaleza,1440
18,2015,Fortaleza,1600
19,2015,Fortaleza,2115
20,2015,Fortaleza,2500
21,2015,Fortaleza,2357
22,2015,Fortaleza,1827
23,2015,Fortaleza,1567
24,2015,Fortaleza,1414
25,2015,Fortaleza,1337
26,2015,Fortaleza,1087
27,2015,Fortaleza,738
28,2015,Fortaleza,646
29,2015,Fortaleza,456
30,2015,Fortaleza,343
31,2015,Fortaleza,345
32,2015,Fortaleza,299
33,2015,Fortaleza,240
34,2015,Fortaleza,212
35,2015,Fortaleza,123
36,2015,Fortaleza,110
37,2015,Fortaleza,87
38,2015,Fortaleza,82
39,2015,Fortaleza,54
40,2015,Fortaleza,54
41,2015,Fortaleza,41
42,2015,Fortaleza,38
43,2015,Fortaleza,27
44,2015,Fortaleza,24
45,2015,Fortaleza,20
46,2015,Fortaleza,28
47,2015,Fortaleza,17
48,2015,Fortaleza,28
49,2015,Fortaleza,58
50,2015,Fortaleza,33
51,2015,Fortaleza,42
52,2015,Fortaleza,46
1,2016,Fortaleza,72
2,2016,Fortaleza,90
3,2016,Fortaleza,115
4,2016,Fortaleza,194
5,2016,Fortaleza,168
6,2016,Fortaleza,185
7,2016,Fortaleza,224
8,2016,Fortaleza,241
9,2016,Fortaleza,229
10,2016,Fortaleza,289
11,2016,Fortaleza,320
12,2016,Fortaleza,310
13,2016,Fortaleza,383
14,2016,Fortaleza,408
15,2016,Fortaleza,501
16,2016,Fortaleza,1110
17,2016,Fortaleza,1387
18,2016,Fortaleza,1224
19,2016,Fortaleza,1196
20,2016,Fortaleza,1332
21,2016,Fortaleza,1089
22,2016,Fortaleza,964
23,2016,Fortaleza,865
24,2016,Fortaleza,804
25,2016,Fortaleza,559
26,2016,Fortaleza,623
27,2016,Fortaleza,640
28,2016,Fortaleza,497
29,2016,Fortaleza,529
30,2016,Fortaleza,447
31,2016,Fortaleza,379
32,2016,Fortaleza,255
33,2016,Fortaleza,275
34,2016,Fortaleza,246
35,2016,Fortaleza,169
36,2016,Fortaleza,174
37,2016,Fortaleza,188
38,2016,Fortaleza,201
39,2016,Fortaleza,127
40,2016,Fortaleza,163
41,2016,Fortaleza,116
42,2016,Fortaleza,108
43,2016,Fortaleza,102
44,2016,Fortaleza,123
45,2016,Fortaleza,165
46,2016,Fortaleza,169
47,2016,Fortaleza,122
48,2016,Fortaleza,158
49,2016,Fortaleza,147
50,2016,Fortaleza,122
51,2016,Fortaleza,88
52,2016,Fortaleza,90
