ds,y
21/10/2013,1
28/10/2013,0
04/11/2013,0
11/11/2013,3
18/11/2013,5
25/11/2013,4
02/12/2013,1
09/12/2013,1
16/12/2013,0
23/12/2013,2
30/12/2013,1
06/01/2014,8
13/01/2014,6
20/01/2014,4
27/01/2014,11
03/02/2014,1
10/02/2014,2
17/02/2014,5
24/02/2014,2
03/03/2014,0
10/03/2014,6
17/03/2014,7
24/03/2014,4
31/03/2014,7
07/04/2014,5
14/04/2014,8
21/04/2014,6
28/04/2014,4
05/05/2014,13
12/05/2014,8
19/05/2014,7
26/05/2014,15
02/06/2014,16
09/06/2014,33
16/06/2014,25
23/06/2014,17
30/06/2014,8
07/07/2014,21
14/07/2014,25
21/07/2014,14
28/07/2014,5
04/08/2014,10
11/08/2014,20
18/08/2014,24
25/08/2014,21
01/09/2014,19
08/09/2014,17
15/09/2014,10
22/09/2014,3
29/09/2014,10
06/10/2014,11
13/10/2014,11
20/10/2014,5
27/10/2014,5
03/11/2014,3
10/11/2014,8
17/11/2014,8
24/11/2014,6
01/12/2014,2
08/12/2014,8
15/12/2014,14
22/12/2014,25
29/12/2014,15
05/01/2015,11
12/01/2015,14
19/01/2015,9
26/01/2015,18
02/02/2015,43
09/02/2015,21
16/02/2015,0
23/02/2015,0
02/03/2015,0
09/03/2015,0
16/03/2015,0
23/03/2015,0
30/03/2015,0
06/04/2015,0
13/04/2015,0
20/04/2015,0
27/04/2015,0
04/05/2015,0
11/05/2015,0
18/05/2015,0
25/05/2015,0
01/06/2015,0
08/06/2015,0
15/06/2015,0
22/06/2015,0
29/06/2015,0
06/07/2015,0
13/07/2015,0
20/07/2015,0
27/07/2015,0
03/08/2015,0
10/08/2015,0
17/08/2015,0
24/08/2015,0
31/08/2015,0
07/09/2015,0
14/09/2015,0
21/09/2015,0
28/09/2015,0
05/10/2015,0
12/10/2015,0
19/10/2015,0
26/10/2015,0
02/11/2015,0
09/11/2015,0
16/11/2015,0
23/11/2015,0
30/11/2015,0
07/12/2015,0
14/12/2015,0
21/12/2015,1
28/12/2015,0
04/01/2016,0
11/01/2016,0
18/01/2016,0
25/01/2016,0
01/02/2016,0
08/02/2016,0
15/02/2016,0
22/02/2016,0
29/02/2016,0
07/03/2016,0
14/03/2016,0
21/03/2016,0
28/03/2016,0
04/04/2016,0
11/04/2016,0
18/04/2016,0
25/04/2016,0
02/05/2016,0
09/05/2016,0
16/05/2016,0
23/05/2016,0
30/05/2016,0
06/06/2016,0
13/06/2016,0
20/06/2016,0
27/06/2016,0
04/07/2016,0
11/07/2016,0
18/07/2016,0
25/07/2016,0
01/08/2016,0
08/08/2016,0
15/08/2016,0
22/08/2016,0
29/08/2016,0
05/09/2016,0
12/09/2016,0
19/09/2016,0
26/09/2016,0
03/10/2016,0
10/10/2016,0
17/10/2016,0
24/10/2016,0
31/10/2016,0
07/11/2016,0
14/11/2016,0
21/11/2016,0
28/11/2016,0
05/12/2016,3
12/12/2016,1
19/12/2016,4
26/12/2016,7
02/01/2017,11
09/01/2017,5
16/01/2017,3
23/01/2017,10
30/01/2017,8
