Infectados
0.007
0.010
0.010
0.007
0.013
0.003
0.013
0.010
0.003367003
0.016835017
0.02020202
0.043771044
0.052188552
0.097643098
0.196969697
0.203703704
0.175084175
0.255892256
0.378787879
0.65993266
