city,year,weekofyear,Infectados,Var_Alvo
sb,2012,5,0,0
sb,2012,6,2,2
sb,2012,7,2,2
sb,2012,8,0,0
sb,2012,9,0,0
sb,2012,10,1,1
sb,2012,11,0,0
sb,2012,12,0,0
sb,2012,13,2,2
sb,2012,14,2,2
sb,2012,15,0,0
sb,2012,16,2,2
sb,2012,17,1,1
sb,2012,18,1,1
sb,2012,19,2,2
sb,2012,20,0,0
sb,2012,21,0,0
sb,2012,22,0,0
sb,2012,23,0,0
sb,2012,24,0,0
sb,2012,25,0,0
sb,2012,26,2,2
sb,2012,27,1,1
sb,2012,28,0,0
sb,2012,29,1,1
sb,2012,30,0,0
sb,2012,31,1,1
sb,2012,32,0,0
sb,2012,33,0,0
sb,2012,34,0,0
sb,2012,35,0,0
sb,2012,36,0,0
sb,2012,37,0,0
sb,2012,38,0,0
sb,2012,39,0,0
sb,2012,40,1,1
sb,2012,41,0,0
sb,2012,42,0,0
sb,2012,43,0,0
sb,2012,44,0,0
sb,2012,45,0,0
sb,2012,46,0,0
sb,2012,47,0,0
sb,2012,48,0,0
sb,2012,49,0,0
sb,2012,50,0,0
sb,2012,51,0,0
sb,2012,52,0,0
sb,2013,1,0,0
sb,2013,2,0,0
sb,2013,3,0,0
sb,2013,4,0,0
sb,2013,5,0,0
sb,2013,6,0,0
sb,2013,7,0,0
sb,2013,8,0,0
sb,2013,9,0,0
sb,2013,10,0,0
sb,2013,11,1,1
sb,2013,12,2,2
sb,2013,13,0,0
sb,2013,14,1,1
sb,2013,15,0,0
sb,2013,16,0,0
sb,2013,17,0,0
sb,2013,18,0,0
sb,2013,19,0,0
sb,2013,20,0,0
sb,2013,21,0,0
sb,2013,22,0,0
sb,2013,23,0,0
sb,2013,24,1,1
sb,2013,25,0,0
sb,2013,26,0,0
sb,2013,27,1,1
sb,2013,28,2,2
sb,2013,29,3,3
sb,2013,30,1,1
sb,2013,31,2,2
sb,2013,32,0,0
sb,2013,33,1,1
sb,2013,34,0,0
sb,2013,35,0,0
sb,2013,36,1,1
sb,2013,37,0,0
sb,2013,38,1,1
sb,2013,39,1,1
sb,2013,40,0,0
sb,2013,41,0,0
sb,2013,42,0,0
sb,2013,43,0,0
sb,2013,44,0,0
sb,2013,45,0,0
sb,2013,46,0,0
sb,2013,47,0,0
sb,2013,48,0,0
sb,2013,49,0,0
sb,2013,50,0,0
sb,2013,51,0,0
sb,2013,52,1,1
sb,2014,1,0,0
sb,2014,2,0,0
sb,2014,3,0,0
sb,2014,4,0,0
sb,2014,5,0,0
sb,2014,6,1,1
sb,2014,7,1,1
sb,2014,8,0,0
sb,2014,9,2,2
sb,2014,10,0,0
sb,2014,11,1,1
sb,2014,12,1,1
sb,2014,13,1,1
sb,2014,14,1,1
sb,2014,15,3,3
sb,2014,16,4,4
sb,2014,17,6,6
sb,2014,18,3,3
sb,2014,19,10,10
sb,2014,20,13,13
sb,2014,21,27,27
sb,2014,22,17,17
sb,2014,23,40,40
sb,2014,24,46,46
sb,2014,25,68,68
sb,2014,26,54,54
sb,2014,27,42,42
sb,2014,28,34,34
sb,2014,29,19,19
sb,2014,30,10,10
sb,2014,31,11,11
sb,2014,32,6,6
sb,2014,33,3,3
sb,2014,34,6,6
sb,2014,35,4,4
sb,2014,36,2,2
sb,2014,37,1,1
sb,2014,38,1,1
sb,2014,39,0,0
sb,2014,40,2,2
sb,2014,41,0,0
sb,2014,42,0,0
sb,2014,43,1,1
sb,2014,44,1,1
sb,2014,45,1,1
sb,2014,46,2,2
sb,2014,47,2,2
sb,2014,48,0,0
sb,2014,49,1,1
sb,2014,50,0,0
sb,2014,51,0,0
sb,2014,52,3,3
sb,2015,,1,1
sb,2015,2,1,1
sb,2015,3,1,1
sb,2015,4,2,2
sb,2015,5,0,0
sb,2015,6,2,2
sb,2015,7,1,1
sb,2015,8,1,1
sb,2015,9,0,0
sb,2015,10,0,0
sb,2015,11,4,4
sb,2015,12,1,1
sb,2015,13,0,0
sb,2015,14,3,3
sb,2015,15,3,3
sb,2015,16,1,1
sb,2015,17,3,3
sb,2015,18,9,9
sb,2015,19,4,4
sb,2015,20,13,13
sb,2015,21,9,9
sb,2015,22,12,12
sb,2015,23,9,9
sb,2015,24,8,8
sb,2015,25,4,4
sb,2015,26,0,0
sb,2015,27,0,0
sb,2015,28,0,0
sb,2015,29,0,0
sb,2015,30,0,0
sb,2015,31,0,0
sb,2015,32,0,0
sb,2015,33,0,0
sb,2015,34,0,0
sb,2015,35,0,0
sb,2015,36,0,0
sb,2015,37,0,0
sb,2015,38,0,0
sb,2015,39,0,0
sb,2015,40,0,0
sb,2015,41,0,0
sb,2015,42,0,0
sb,2015,43,0,0
sb,2015,44,0,0
sb,2015,45,0,0
sb,2015,46,0,0
sb,2015,47,0,0
sb,2015,48,0,0
sb,2015,49,0,0
sb,2015,50,2,2
sb,2015,51,5,5
sb,2015,52,2,2
sb,2016,1,6,6
sb,2016,2,7,7
sb,2016,3,6,6
sb,2016,4,10,10
sb,2016,5,14,14
sb,2016,6,11,11
sb,2016,7,4,4
sb,2016,8,7,7
sb,2016,9,17,17
sb,2016,10,22,22
sb,2016,11,42,42
sb,2016,12,36,36
sb,2016,13,50,50
sb,2016,14,30,30
sb,2016,15,33,33
sb,2016,16,49,49
sb,2016,17,36,36
sb,2016,18,34,34
sb,2016,19,27,27
sb,2016,20,53,53
sb,2016,21,44,44
sb,2016,22,25,25
sb,2016,23,32,32
sb,2016,24,27,27
sb,2016,25,25,25
sb,2016,26,10,10
sb,2016,27,9,9
sb,2016,28,4,4
sb,2016,29,5,5
sb,2016,30,3,3
sb,2016,31,4,4
sb,2016,32,5,5
sb,2016,33,1,1
sb,2016,34,0,0
sb,2016,35,3,3
sb,2016,36,0,0
sb,2016,37,0,0
sb,2016,38,0,0
sb,2016,39,3,3
sb,2016,40,4,4
sb,2016,41,2,2
