city,year,weekofyear,Infectados
sb,2012,18,2
sb,2012,19,3
sb,2012,20,2
sb,2012,21,3
sb,2012,22,2
sb,2012,23,0
sb,2012,24,0
sb,2012,25,0
sb,2012,26,0
sb,2012,27,0
sb,2012,28,2
sb,2012,29,3
sb,2012,30,1
sb,2012,31,1
sb,2012,32,1
sb,2012,33,1
sb,2012,34,1
sb,2012,35,0
sb,2012,36,0
sb,2012,37,0
sb,2012,38,0
sb,2012,39,0
sb,2012,40,0
sb,2012,41,0
sb,2012,42,1
sb,2012,43,1
sb,2012,44,0
sb,2012,45,0
sb,2012,46,0
sb,2012,47,0
sb,2012,48,0
sb,2012,49,0
sb,2012,50,0
sb,2012,51,0
sb,2012,52,0
sb,2013,1,0
sb,2013,2,0
sb,2013,3,0
sb,2013,4,0
sb,2013,5,0
sb,2013,6,0
sb,2013,7,0
sb,2013,8,0
sb,2013,9,0
sb,2013,10,0
sb,2013,11,0
sb,2013,12,0
sb,2013,13,1
sb,2013,14,3
sb,2013,15,2
sb,2013,16,1
sb,2013,17,1
sb,2013,18,0
sb,2013,19,0
sb,2013,20,0
sb,2013,21,0
sb,2013,22,0
sb,2013,23,0
sb,2013,24,0
sb,2013,25,0
sb,2013,26,1
sb,2013,27,1
sb,2013,28,0
sb,2013,29,1
sb,2013,30,3
sb,2013,31,5
sb,2013,32,4
sb,2013,33,3
sb,2013,34,2
sb,2013,35,1
sb,2013,36,1
sb,2013,37,0
sb,2013,38,1
sb,2013,39,1
sb,2013,40,1
sb,2013,41,2
sb,2013,42,1
sb,2013,43,0
sb,2013,44,0
sb,2013,45,0
sb,2013,46,0
sb,2013,47,0
sb,2013,48,0
sb,2013,49,0
sb,2013,50,0
sb,2013,51,0
sb,2013,52,0
sb,2014,1,0
sb,2014,2,1
sb,2014,3,1
sb,2014,4,0
sb,2014,5,0
sb,2014,6,0
sb,2014,7,0
sb,2014,8,1
sb,2014,9,2
sb,2014,10,1
sb,2014,11,2
sb,2014,12,2
sb,2014,13,1
sb,2014,14,2
sb,2014,15,2
sb,2014,16,2
sb,2014,17,4
sb,2014,18,7
sb,2014,19,10
sb,2014,20,9
sb,2014,21,13
sb,2014,22,23
sb,2014,23,40
sb,2014,24,44
sb,2014,25,57
sb,2014,26,86
sb,2014,27,114
sb,2014,28,122
sb,2014,29,96
sb,2014,30,76
sb,2014,31,53
sb,2014,32,29
sb,2014,33,21
sb,2014,34,17
sb,2014,35,9
sb,2014,36,9
sb,2014,37,10
sb,2014,38,6
sb,2014,39,3
sb,2014,40,2
sb,2014,41,1
sb,2014,42,2
sb,2014,43,2
sb,2014,44,0
sb,2014,45,1
sb,2014,46,2
sb,2014,47,2
sb,2014,48,3
sb,2014,49,4
sb,2014,50,2
sb,2014,51,1
sb,2014,52,1
sb,2015,,0
sb,2015,2,3
sb,2015,3,4
sb,2015,4,2
sb,2015,5,2
sb,2015,6,3
sb,2015,7,2
sb,2015,8,2
sb,2015,9,3
sb,2015,10,2
sb,2015,11,1
sb,2015,12,0
sb,2015,13,4
sb,2015,14,5
sb,2015,15,1
sb,2015,16,3
sb,2015,17,6
sb,2015,18,4
sb,2015,19,4
sb,2015,20,12
sb,2015,21,13
sb,2015,22,17
sb,2015,23,22
sb,2015,24,21
sb,2015,25,21
sb,2015,26,17
sb,2015,27,12
sb,2015,28,4
sb,2015,29,0
sb,2015,30,0
sb,2015,31,0
sb,2015,32,0
sb,2015,33,0
sb,2015,34,0
sb,2015,35,0
sb,2015,36,0
sb,2015,37,0
sb,2015,38,0
sb,2015,39,0
sb,2015,40,0
sb,2015,41,0
sb,2015,42,0
sb,2015,43,0
sb,2015,44,0
sb,2015,45,0
sb,2015,46,0
sb,2015,47,0
sb,2015,48,0
sb,2015,49,0
sb,2015,50,0
sb,2015,51,0
sb,2015,52,2
sb,2016,1,7
sb,2016,2,7
sb,2016,3,8
sb,2016,4,13
sb,2016,5,13
sb,2016,6,16
sb,2016,7,24
sb,2016,8,25
sb,2016,9,15
sb,2016,10,11
sb,2016,11,24
sb,2016,12,39
sb,2016,13,64
sb,2016,14,78
sb,2016,15,86
sb,2016,16,80
sb,2016,17,63
sb,2016,18,82
sb,2016,19,85
sb,2016,20,70
sb,2016,21,61
sb,2016,22,80
sb,2016,23,97
sb,2016,24,69
sb,2016,25,57
sb,2016,26,59
sb,2016,27,52
sb,2016,28,35
sb,2016,29,19
sb,2016,30,13
sb,2016,31,9
sb,2016,32,8
sb,2016,33,7
sb,2016,34,9
sb,2016,35,6
sb,2016,36,1
sb,2016,37,3
sb,2016,38,3
sb,2016,39,0
sb,2016,40,0
sb,2016,41,3
sb,2016,42,7
sb,2016,43,6
sb,2016,44,3
sb,2016,45,2
sb,2016,46,2
sb,2016,47,4
sb,2016,48,3
sb,2016,49,2
sb,2016,50,3
sb,2016,51,5
sb,2016,52,4
sb,2017,1,0
sb,2017,2,0
sb,2017,3,0
sb,2017,4,0
sb,2017,5,0
sb,2017,6,0
sb,2017,7,1
sb,2017,8,1
sb,2017,9,0
sb,2017,10,1
sb,2017,11,1
sb,2017,12,0
sb,2017,13,0
sb,2017,14,0
sb,2017,15,0
sb,2017,16,0
sb,2017,17,1
sb,2017,18,2
sb,2017,19,2
sb,2017,20,1
sb,2017,21,0
