Semana,Ano,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento
25,2009,7.4,216.9,150.8,49.9,19.2,178.1,575.5,6.133334
26,2009,24.3,209.4,147.6,42.9,16.3,174.54,576.5,6.866668
27,2009,0.2,216.7,144.7,61.4,27.5,174.4,573.67,4.133333
28,2009,12.7,213.8,145.4,40.5,15.5,173.2,600,3
29,2009,11.9,218.7,149.6,43.5,12.2,177.66,596,3.1
30,2009,15.2,216.6,149.3,50.5,7.5,176.16,598,3.5
31,2009,0,233.7,138.2,72.5,36.1,178.2,547.75,3.1
32,2009,7.2,233.9,139.9,65.3,51.3,179.86,504.25,12.466668
33,2009,3,237.6,142.4,60.3,39.2,183.66,464.75,7.333333
34,2009,0,247.4,138.8,71.6,61.3,187.18,451.75,16.433334
35,2009,8.6,239.5,149.3,54.3,68.5,185.36,479.75,11.4
36,2009,0,252.4,140.6,72.4,84.1,191.22,412.25,14.966666
37,2009,0,253.2,142.8,69.9,77.1,191.58,408.75,15.333334
38,2009,0,255.5,157,61.8,65.6,195.8,438.5,21
39,2009,0.3,256.6,151.6,64.9,77.5,195.04,396.5,17.766666
40,2009,0,259.7,149.2,75,90.1,198.22,377,24.733332
41,2009,0,257.3,150.9,65.3,88.1,194.28,407.25,17.8
42,2009,0,256.6,147.1,64.8,65.3,193.7,408.25,16.983334
43,2009,0,260.4,151.7,60.8,62.4,194.16,466,14.6
44,2009,0,220.8,127.2,46,50.42,166.6,354.5,18.066666
45,2009,0,261.4,151.9,68.2,84.2,198.96,392,21.833334
46,2009,0,258.9,158.2,61.5,83.4,199.04,406.25,22.666667
47,2009,0,254.8,153.1,59.5,85.2,196.68,398.25,17.9
48,2009,0,258.7,147.5,66.9,84.2,196.6,395.75,22.833334
49,2009,0,257.6,157.1,49,90.4,200.32,426.25,20.083334
50,2009,0.7,257,156.9,54,85.3,200.34,470,24.25
51,2009,0.6,254.6,159.2,57.5,70,200.02,466,25.75
52,2009,0,256.5,164.8,49.2,76.7,203.82,428,24
53,2009,0.6,217.2,142.2,36.6,56.3,172.12,370,21.333334
1,2010,1.5,65.2,48,3.9,14.1,54,139.25,3.7
2,2010,10.7,244.1,156.7,33.7,58.9,194.02,461.25,12.533333
3,2010,0.5,249.8,157.5,46.7,55.6,196.56,437,12.633333
4,2010,57.4,249.1,158.1,56.4,56.6,197.04,437,16.066668
5,2010,104.6,238.9,162.1,48.3,34.8,190.44,531.75,12.533334
6,2010,1.9,243.9,164.6,59.5,46.2,199.62,424.25,18.4
7,2010,48.6,226.8,158.5,27.8,27.4,186.82,560.5,8.233333
8,2010,15.8,240.4,159.5,61.7,31.8,194.2,471.25,16.000001
9,2010,1.1,257.2,162.6,63.4,56,202.12,432,12.733334
10,2010,0,263.1,161.7,66.1,63.6,202.98,395.75,16.766667
11,2010,0,262.4,167.4,59.4,65.3,203.98,429.5,14.6
12,2010,36.5,257.1,162.9,54.3,71.3,200.68,440.5,16.533333
13,2010,6.7,239,166,35.8,34.7,193.34,511.5,9.833334
14,2010,96.3,232.7,165.4,40,27.7,188.56,580.5,7.066667
15,2010,10.9,227.8,165.8,42.2,23.5,189.92,557.25,7.566666
16,2010,3.6,232.2,161.9,51.1,24.4,190.68,505.5,11.366666
17,2010,39.7,225.7,164.6,42.1,18.9,187.44,562.25,7.1
18,2010,19,235.9,158,51.6,32.2,188.92,524.5,9.566667
19,2010,23.9,230.6,161.6,47.8,20.5,187.9,561.5,6.266667
20,2010,1.3,239.6,158.3,59.8,30,192.5,482,11.033333
21,2010,0,252.5,154.7,65.2,55.9,196.86,438.5,12.366665
22,2010,13.9,252.4,162.1,58,51.5,199.28,441,14.633334
23,2010,69.5,241.1,161,52.8,52.3,191.62,511.25,10.233333
24,2010,0,241.8,149.8,69.3,51.8,191.88,432.5,10.566667
25,2010,3.6,240.3,153.3,52.8,58,194.62,417.25,11.066666
26,2010,0,252.1,145.6,68,72.7,195.32,383.75,13.1
27,2010,0,250.2,151.1,57.1,77.2,198.16,403,11.75
28,2010,8.8,253,150.4,58.7,81.1,198.28,440,10.4
29,2010,0,249.1,153.9,53.1,81.1,197.3,460,9.45
30,2010,0,251.8,152.8,56.4,80.4,198.62,453,7.35
31,2010,0,256.7,150.8,67.4,98.2,200.8,451,8
32,2010,0,256.5,155.7,62,93.3,199,442.25,14.433334
33,2010,0,254.7,145.2,67.8,95.2,196.14,423.5,15.8
34,2010,0,256.2,147.8,72.1,97.4,196.3,458.5,13.166666
35,2010,0,261.9,157.6,71.5,98,200.56,438.5,17.166666
36,2010,0,258.6,150.7,70,97.1,199.32,427,15.833334
