Semana,Ano,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento
22,2015,0,246.1,151.9,52.2,49.7,192.88,536,9.5
23,2015,40,243,155.8,50.5,49.2,189.96,475,9.5
24,2015,2.1,243.3,149.1,53.1,51,190.52,458,12.333332
25,2015,1.2,248,142.5,65.8,75.4,189.62,424,9.833333
26,2015,1.6,246,146.5,55.3,66.2,189.62,424,10.833334
27,2015,31.2,236.8,151.6,39.6,61.3,189.42,499.75,7.1
28,2015,5.2,237,144.8,58.5,51,186.28,479.92,6.45
29,2015,0,231.8,146,48.6,71.62,186.46,454,8.35
30,2015,0,244.3,149.2,56.8,70.1,191.08,481,8.5
31,2015,0,248.4,149.3,63.7,75.7,193.56,451.5,10.3
32,2015,0,251.5,140.3,73.3,88.1,193.16,405.75,10.033333
33,2015,0,251,144.2,67.8,91.7,193.8,400.75,10.133334
34,2015,0,257.7,148.5,72,89.8,195.92,399,8.166666
35,2015,0,258.9,149.1,70.8,89.1,194.5,422.25,13.299999
36,2015,0,255.9,155.7,57.8,79.7,194.34,442.5,9.1
37,2015,0,257.6,154.2,68.2,95.1,197.32,410.5,11.500001
38,2015,0,257.8,154.6,69.8,91.6,197.08,405,11.966668
39,2015,0,257.7,148.9,64.7,101,195.74,397,14.500001
40,2015,0,260.5,152.8,65.8,99.2,197.68,385.25,9.5
41,2015,0,260.2,159.3,66.6,104.7,199.84,403.75,13.733333
42,2015,0,262.9,158,69.7,108.1,202.5,354.75,14.999999
43,2015,0,264.2,154.9,71.4,101,199.4,388.5,11.066666
44,2015,0,255.5,150.5,60.8,99.5,195.78,374.75,12.4
45,2015,0,263.8,153.3,75.8,103.1,200.5,358.5,10.733333
46,2015,0,259.2,160.3,61.5,92.1,198.22,389.5,8.966667
47,2015,0,266.1,152.2,74.6,102.9,201.02,379.5,10.9
48,2015,0,264.2,157,67.1,94.9,201.04,392,7.266667
49,2015,0,265.2,162,74.2,109.5,204.56,420.5,14
50,2015,0,264.2,159,65.9,83.9,203.12,447,13.25
51,2015,0.6,262.3,161.7,60.3,91.7,203.44,461,12.25
52,2015,0.7,260.3,162.8,64.8,89.5,203.44,426,12.5
53,2015,5.1,180.9,117.5,33.1,66.8,145.02,292,6.583333
