city,year,weekofyear,Infectados
sb,2010,23,0
sb,2010,24,0
sb,2010,25,0
sb,2010,26,0
sb,2010,27,2
sb,2010,28,1
sb,2010,29,0
sb,2010,30,6
sb,2010,31,0
sb,2010,32,0
sb,2010,33,0
sb,2010,34,3
sb,2010,35,8
sb,2010,36,8
sb,2010,37,2
sb,2010,38,12
sb,2010,39,6
sb,2010,40,5
sb,2010,41,6
sb,2010,42,16
sb,2010,43,7
sb,2010,44,2
sb,2010,45,2
sb,2010,46,6
sb,2010,47,7
sb,2010,48,8
sb,2010,49,2
sb,2010,50,4
sb,2010,51,6
sb,2010,52,4
sb,2011,1,7
sb,2011,2,6
sb,2011,3,8
sb,2011,4,9
sb,2011,5,15
sb,2011,6,9
sb,2011,7,7
sb,2011,8,7
sb,2011,9,13
sb,2011,10,6
sb,2011,11,6
sb,2011,12,1
sb,2011,13,1
sb,2011,14,0
sb,2011,15,0
sb,2011,16,1
sb,2011,17,0
sb,2011,18,0
sb,2011,19,0
sb,2011,20,0
sb,2011,21,0
sb,2011,22,0
sb,2011,23,0
sb,2011,24,0
sb,2011,25,0
sb,2011,26,0
sb,2011,27,0
sb,2011,28,0
sb,2011,29,0
sb,2011,30,0
sb,2011,31,0
sb,2011,32,0
sb,2011,33,0
sb,2011,34,0
sb,2011,35,0
sb,2011,36,0
sb,2011,37,0
sb,2011,38,0
sb,2011,39,0
sb,2011,40,0
sb,2011,41,0
sb,2011,42,0
sb,2011,43,0
sb,2011,44,0
sb,2011,45,0
sb,2011,46,0
sb,2011,47,0
sb,2011,48,0
sb,2011,49,0
sb,2011,50,0
sb,2011,51,1
sb,2011,52,1
sb,2012,1,1
sb,2012,2,0
sb,2012,3,1
sb,2012,4,0
sb,2012,5,0
sb,2012,6,1
sb,2012,7,0
sb,2012,8,2
sb,2012,9,2
sb,2012,10,0
sb,2012,11,0
sb,2012,12,1
sb,2012,13,0
sb,2012,14,0
sb,2012,15,2
sb,2012,16,2
sb,2012,17,0
sb,2012,18,2
sb,2012,19,1
sb,2012,20,1
sb,2012,21,2
sb,2012,22,0
sb,2012,23,0
sb,2012,24,0
sb,2012,25,0
sb,2012,26,0
sb,2012,27,0
sb,2012,28,2
sb,2012,29,1
sb,2012,30,0
sb,2012,31,1
sb,2012,32,0
sb,2012,33,1
sb,2012,34,0
sb,2012,35,0
sb,2012,36,0
sb,2012,37,0
sb,2012,38,0
sb,2012,39,0
sb,2012,40,0
sb,2012,41,0
sb,2012,42,1
sb,2012,43,0
sb,2012,44,0
sb,2012,45,0
sb,2012,46,0
sb,2012,47,0
sb,2012,48,0
sb,2012,49,0
sb,2012,50,0
sb,2012,51,0
sb,2012,52,0
sb,2013,1,0
sb,2013,2,0
sb,2013,3,0
sb,2013,4,0
sb,2013,5,0
sb,2013,6,0
sb,2013,7,0
sb,2013,8,0
sb,2013,9,0
sb,2013,10,0
sb,2013,11,0
sb,2013,12,0
sb,2013,13,1
sb,2013,14,2
sb,2013,15,0
sb,2013,16,1
sb,2013,17,0
sb,2013,18,0
sb,2013,19,0
sb,2013,20,0
sb,2013,21,0
sb,2013,22,0
sb,2013,23,0
sb,2013,24,0
